,#gens,#Terms,min_deg,max_deg,av_deg,min_deg_of_X1,min_deg_of_X2,min_deg_of_X3,min_deg_of_X4,max_deg_of_X1,max_deg_of_X2,max_deg_of_X3,max_deg_of_X4,av_deg_of_X1,av_deg_of_X2,av_deg_of_X3,av_deg_of_X4,min_lt_deg_of_X1,min_lt_deg_of_X2,min_lt_deg_of_X3,min_lt_deg_of_X4,max_lt_deg_of_X1,max_lt_deg_of_X2,max_lt_deg_of_X3,max_lt_deg_of_X4,av_lt_deg_of_X1,av_lt_deg_of_X2,av_lt_deg_of_X3,av_lt_deg_of_X4,min_terms,max_terms,av_terms,generators_with_X1,generators_with_X2,generators_with_X3,generators_with_X4,generators_with_X1_X2,generators_with_X1_X3,generators_with_X1_X4,generators_with_X1_X3,generators_with_X2_X4,generators_with_X3_X4,generators_with_X1_X2_X3,generators_with_X1_X2_X4,generators_with_X1_X3_X4,generators_with_X2_X3_X4,generators_with_X1_X2_X3_X4,lt_with_X1,lt_with_X2,lt_with_X3,lt_with_X4,lt_with_X1_X2,lt_with_X1_X3,lt_with_X1_X4,lt_with_X1_X3,lt_with_X2_X4,lt_with_X3_X4,lt_with_X1_X2_X3,lt_with_X1_X2_X4,lt_with_X1_X3_X4,lt_with_X2_X3_X4,lt_with_X1_X2_X3_X4,terms_with_X1,terms_with_X2,terms_with_X3,terms_with_X4,terms_with_X1_X2,terms_with_X1_X3,terms_with_X1_X4,terms_with_X1_X3,terms_with_X2_X4,terms_with_X3_X4,terms_with_X1_X2_X3,terms_with_X1_X2_X4,terms_with_X1_X3_X4,terms_with_X2_X3_X4,terms_with_X1_X2_X3_X4,deg_sum(F),cls_1,cls_2,cls_3,cls_4,cls_of_lt_1,cls_of_lt_2,cls_of_lt_3,cls_of_lt_4,#pure_var_power,#pure_var_power_lt,QS
324,3,12,3,6,4.7,1,1,1,2,5,3,5,4,3.3,2.0,2.7,2.7,0,0,0,0,5,3,1,0,2.3,1.7,0.7,0.0,2,5,4.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,0,1,1,0,2,0,0,1,0,0,0,0,7,7,7,7,3,2,4,6,3,4,2,1,1,3,1,14,0,2,0,1,7,3,1,1,1,1,1
325,2,5,3,4,3.5,2,1,0,0,3,1,2,2,2.5,1.0,1.0,1.0,2,1,0,0,3,1,0,0,2.5,1.0,0.0,0.0,1,4,2.5,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,3,3,2,2,2,1,0,0,1,1,0,0,0,0,0,7,0,0,2,0,2,1,2,0,0,0,1
326,2,8,4,4,4.0,3,0,1,2,3,3,2,2,3.0,1.5,1.5,2.0,3,0,0,0,3,1,0,1,3.0,0.5,0.0,0.5,3,5,4.0,2,1,2,2,1,2,2,1,1,2,1,1,2,1,1,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,7,4,2,5,4,1,4,1,1,1,1,1,0,0,0,8,1,0,1,0,5,1,2,0,0,0,1
327,2,9,4,5,4.5,3,3,2,2,4,4,3,2,3.5,3.5,2.5,2.0,3,1,0,0,4,1,0,0,3.5,1.0,0.0,0.0,4,5,4.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,6,6,6,3,4,4,2,3,1,3,2,1,2,1,1,9,0,0,2,0,3,3,3,0,1,0,1
328,4,12,3,5,4.0,0,0,0,1,4,3,3,4,2.0,1.8,2.0,2.5,0,0,0,0,4,3,1,1,2.0,1.0,0.2,0.8,2,5,3.0,3,3,3,4,2,3,3,2,3,3,2,2,3,2,2,3,2,1,3,1,1,2,0,1,1,0,0,1,0,0,4,7,5,11,2,1,3,2,6,5,0,1,1,2,0,16,3,0,1,0,11,0,1,0,1,0,1
329,4,14,3,8,4.8,2,0,2,1,3,2,6,4,2.2,1.0,3.5,3.0,0,0,0,0,3,1,6,1,1.8,0.5,2.2,0.2,2,4,3.5,4,3,4,4,3,4,4,3,3,4,3,3,4,3,3,3,2,3,1,1,2,0,1,1,1,0,0,0,1,0,9,6,8,9,5,4,5,2,4,5,1,3,2,2,1,19,1,2,1,0,9,3,2,0,2,0,1
330,2,11,5,5,5.0,3,1,2,3,5,4,4,4,4.0,2.5,3.0,3.5,3,0,0,0,5,0,2,0,4.0,0.0,1.0,0.0,4,7,5.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6,5,8,6,2,4,2,3,3,4,1,1,1,1,0,10,0,1,0,1,6,4,0,1,1,1,1
331,8,26,3,8,4.6,0,0,1,0,3,4,6,5,1.2,2.4,3.1,2.6,0,0,0,0,1,3,6,3,0.4,1.6,2.2,0.4,2,5,3.2,6,7,8,7,6,6,6,7,6,7,6,6,6,6,6,3,5,6,1,2,3,0,3,0,1,2,0,0,0,0,11,14,19,15,5,8,7,8,6,10,3,2,4,2,0,37,1,5,2,0,15,9,2,0,4,3,1
332,3,12,3,4,3.7,0,1,2,1,2,2,4,3,1.3,1.7,2.7,2.0,0,0,1,0,1,2,2,1,0.3,1.3,1.3,0.7,3,5,4.0,2,3,3,3,2,2,2,3,3,3,2,2,2,3,2,1,2,3,2,1,1,0,2,1,2,1,0,0,1,0,4,6,7,9,3,1,3,3,4,4,1,2,0,1,0,11,2,1,0,0,9,3,0,0,2,0,1
333,6,26,3,6,4.0,1,1,1,1,3,3,4,5,1.8,1.8,2.2,2.8,0,0,0,0,3,3,2,3,1.3,1.3,0.8,0.5,2,6,4.3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,3,1,2,2,0,1,1,1,0,0,0,1,0,15,14,14,14,5,7,9,7,6,5,1,2,3,2,0,24,1,2,3,0,14,9,3,0,3,1,1
334,6,29,3,6,4.3,2,1,2,0,6,4,4,4,3.5,2.7,2.8,2.5,0,0,0,0,6,4,1,0,3.2,1.0,0.2,0.0,3,8,4.8,6,6,6,5,6,6,5,6,5,5,6,5,5,5,5,5,3,1,0,2,1,0,0,0,0,0,0,0,0,0,14,14,14,14,7,6,4,4,5,7,2,1,2,1,0,26,0,1,3,2,14,7,6,2,8,3,0
335,4,16,3,4,3.8,1,1,2,1,4,3,3,3,2.5,2.0,2.2,2.2,1,0,0,0,4,2,0,0,2.5,1.2,0.0,0.0,3,6,4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,0,0,3,0,0,0,0,0,0,0,0,0,0,13,10,7,6,8,6,3,3,3,2,3,1,1,0,0,15,0,0,3,1,6,5,4,1,1,1,1
336,4,14,4,8,5.5,1,0,1,1,5,4,3,3,2.8,2.2,1.8,2.2,0,0,0,0,5,2,1,2,2.5,1.5,0.8,0.8,2,6,3.5,4,3,4,4,3,4,4,3,3,4,3,3,4,3,3,3,3,3,2,2,2,1,2,2,2,1,1,1,2,1,9,8,11,11,4,6,6,6,6,10,2,2,5,6,2,22,2,1,1,0,11,1,2,0,0,0,1
337,5,21,3,6,4.4,1,1,1,1,3,3,6,5,2.4,2.0,2.6,3.0,0,0,0,0,3,3,4,0,2.0,1.2,1.2,0.0,3,5,4.2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,0,2,2,0,2,0,0,1,0,0,0,0,13,12,14,11,7,7,6,8,5,6,4,2,2,2,0,22,0,3,1,1,11,8,1,1,2,1,1
338,2,7,5,5,5.0,0,3,3,1,1,5,4,5,0.5,4.0,3.5,3.0,0,2,0,0,0,5,3,0,0.0,3.5,1.5,0.0,3,4,3.5,1,2,2,2,1,1,1,2,2,2,1,1,1,2,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,2,4,4,5,1,1,2,2,2,3,0,1,1,1,0,10,0,1,1,0,5,1,1,0,2,1,1
339,3,13,3,6,5.0,1,1,0,2,5,5,5,5,3.3,3.7,2.0,3.7,1,0,0,0,5,1,2,1,3.3,0.3,0.7,0.7,2,7,4.3,3,3,2,3,3,2,3,2,3,2,2,3,2,2,2,3,1,1,2,1,1,2,0,1,0,0,1,0,0,0,7,7,6,12,3,3,6,2,7,5,1,3,2,2,1,15,2,1,0,0,12,1,0,0,0,0,1
340,2,6,4,5,4.5,2,2,3,1,3,2,3,2,2.5,2.0,3.0,1.5,1,0,1,0,2,2,3,0,1.5,1.0,2.0,0.0,3,3,3.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,0,1,2,0,1,0,0,1,0,0,0,0,6,2,4,4,2,4,4,1,1,2,1,1,2,0,0,9,0,2,0,0,4,2,0,0,0,0,1
341,2,6,4,5,4.5,1,1,1,3,1,2,3,4,1.0,1.5,2.0,3.5,1,0,1,0,1,2,3,1,1.0,1.0,2.0,0.5,3,3,3.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,4,4,3,4,2,2,3,2,3,1,1,2,1,1,1,9,1,1,0,0,4,2,0,0,0,0,1
342,2,13,4,6,5.0,2,3,1,2,2,4,6,3,2.0,3.5,3.5,2.5,2,2,0,0,2,4,0,0,2.0,3.0,0.0,0.0,5,8,6.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,9,10,8,5,7,5,4,5,3,3,3,2,3,1,1,10,0,0,2,0,5,5,3,0,1,0,1
343,5,17,3,6,4.4,2,1,0,0,4,3,3,4,3.0,2.0,1.8,2.0,2,0,0,0,4,2,2,1,3.0,0.8,0.4,0.2,2,5,3.4,5,5,4,4,5,4,4,4,4,4,4,4,4,4,4,5,3,1,1,3,1,1,0,1,0,0,1,0,0,0,11,10,7,10,6,4,5,2,6,5,1,3,2,2,1,22,1,1,2,1,10,2,4,1,2,1,1
344,3,17,4,4,4.0,3,0,2,2,3,4,3,4,3.0,1.7,2.7,3.0,0,0,0,0,3,4,1,0,2.0,1.7,0.3,0.0,5,6,5.7,3,2,3,3,2,3,3,2,2,3,2,2,3,2,2,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,12,6,11,10,3,8,7,3,2,6,1,1,4,1,0,12,0,1,2,0,10,5,2,0,2,1,1
345,6,20,3,6,4.8,1,1,1,2,5,6,3,4,2.8,2.7,2.0,3.0,0,0,0,0,5,6,2,2,1.3,2.3,0.7,0.5,2,4,3.3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,5,3,2,2,1,1,3,2,1,1,1,0,1,0,13,12,12,14,7,9,9,8,7,8,5,4,6,4,2,29,2,2,1,1,14,4,1,1,4,2,1
346,4,17,3,5,4.0,1,0,1,1,3,2,3,4,1.8,1.2,2.2,2.2,1,0,0,0,3,2,2,1,1.5,1.0,1.2,0.2,2,8,4.2,4,3,4,4,3,4,4,3,3,4,3,3,4,3,3,4,3,3,1,3,3,1,2,1,1,2,1,1,1,1,12,8,12,12,6,9,8,4,4,8,3,3,6,1,1,16,1,2,1,0,12,4,1,0,1,0,1
347,4,22,5,7,6.0,2,2,1,2,4,6,4,5,3.0,3.5,2.8,3.8,1,0,0,0,3,4,4,0,2.0,2.2,1.8,0.0,4,6,5.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,0,3,3,0,2,0,0,2,0,0,0,0,14,15,17,16,7,11,10,10,10,13,4,4,8,7,2,24,0,3,1,0,16,4,2,0,1,0,1
348,4,16,3,6,4.0,2,1,0,3,4,4,2,4,2.8,2.2,1.0,3.2,1,0,0,0,3,4,2,1,2.0,1.2,0.5,0.2,3,5,4.0,4,4,3,4,4,3,4,3,4,3,3,4,3,3,3,4,2,1,1,2,1,1,0,1,0,0,1,0,0,0,8,9,4,12,5,3,4,1,7,3,1,3,2,1,1,16,1,1,1,1,12,1,2,1,4,1,1
349,4,19,3,4,3.5,2,1,2,1,3,2,4,3,2.5,1.2,2.5,2.2,1,0,0,0,3,0,2,0,2.2,0.0,1.2,0.0,3,6,4.8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,3,0,0,3,0,0,0,0,0,0,0,0,0,9,7,13,13,2,5,5,5,6,8,1,2,2,4,1,14,0,3,0,1,13,5,0,1,3,1,1
350,3,13,4,6,5.0,0,2,4,1,4,3,5,2,2.3,2.7,4.7,1.3,0,0,0,0,4,2,4,0,1.3,1.3,2.3,0.0,2,6,4.3,2,3,3,3,2,2,2,3,3,3,2,2,2,3,2,1,2,2,0,1,0,0,1,0,0,0,0,0,0,0,6,9,8,7,5,2,4,4,6,3,1,4,1,2,1,15,0,2,1,0,7,5,1,0,2,1,1
351,4,13,3,5,3.5,1,1,0,0,3,4,3,3,2.0,2.8,1.8,1.5,0,0,0,0,3,3,3,0,1.5,1.0,1.0,0.0,2,5,3.2,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,2,2,0,1,2,0,1,0,0,1,0,0,0,0,5,7,6,5,2,2,1,3,2,2,1,0,0,1,0,14,0,2,1,1,5,4,3,1,5,2,0
352,4,14,3,5,3.5,0,2,0,0,4,2,3,3,1.8,2.0,1.2,1.5,0,1,0,0,1,2,2,1,0.8,1.8,0.8,0.2,1,6,3.5,3,4,3,2,3,2,2,3,2,1,2,2,1,1,1,3,4,2,1,3,1,1,2,1,0,1,1,0,0,0,10,8,5,10,5,4,7,3,5,2,2,3,2,1,1,14,1,2,1,0,10,3,1,0,1,0,1
353,3,12,3,7,5.0,1,1,2,1,3,3,4,5,2.0,2.0,3.0,2.3,1,1,0,0,3,3,2,0,2.0,2.0,1.0,0.0,3,5,4.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,0,3,2,0,2,0,0,2,0,0,0,0,8,8,10,6,6,6,3,6,4,5,4,2,2,3,1,15,0,2,1,0,6,5,1,0,1,0,1
354,3,18,4,5,4.7,2,2,2,3,2,4,4,4,2.0,3.0,3.0,3.7,0,2,0,0,2,3,1,1,1.0,2.7,0.7,0.3,5,8,6.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,1,2,1,0,2,1,1,1,0,0,1,0,9,9,14,12,4,7,4,7,4,9,3,0,3,3,0,14,1,1,1,0,12,5,1,0,1,0,1
355,2,10,4,5,4.5,2,4,1,2,4,4,1,2,3.0,4.0,1.0,2.0,2,0,0,0,4,2,1,0,3.0,1.0,0.5,0.0,4,6,5.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,6,7,6,5,3,4,3,3,3,3,1,1,2,1,0,9,0,1,1,0,5,3,2,0,1,0,1
356,3,13,3,6,4.3,0,1,2,2,5,3,3,4,2.3,2.3,2.7,2.7,0,1,0,0,5,3,1,0,2.3,1.7,0.3,0.0,3,5,4.3,2,3,3,3,2,2,2,3,3,3,2,2,2,3,2,2,3,1,0,2,1,0,1,0,0,1,0,0,0,0,6,11,5,9,5,2,4,4,7,3,2,3,1,2,1,13,0,1,2,0,9,2,2,0,1,1,1
357,2,7,6,6,6.0,2,2,3,4,2,3,6,5,2.0,2.5,4.5,4.5,1,0,1,0,2,3,5,0,1.5,1.5,3.0,0.0,3,4,3.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,0,1,2,0,1,0,0,1,0,0,0,0,6,3,4,4,3,3,4,1,2,1,1,2,1,0,0,12,0,2,0,0,4,3,0,0,1,0,1
358,3,12,3,6,4.3,1,2,1,2,4,2,4,4,2.7,2.0,2.7,2.7,0,0,0,0,3,2,4,1,1.0,1.3,1.7,0.3,4,4,4.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,2,1,0,0,0,2,1,1,0,0,0,1,0,6,8,8,9,3,4,4,5,6,6,2,2,3,3,1,13,1,1,0,1,9,2,0,1,1,1,1
359,4,19,4,6,4.8,2,2,2,2,4,4,3,3,3.2,3.0,2.2,2.2,0,0,0,0,4,4,3,1,1.5,2.2,0.8,0.2,4,6,4.8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,1,1,1,0,0,1,1,0,0,0,0,0,0,11,11,9,15,5,3,8,6,8,8,2,3,3,5,2,19,1,1,1,1,15,1,2,1,1,1,1
360,3,10,4,6,5.0,2,1,1,0,4,3,4,3,3.0,2.3,2.7,1.0,2,1,0,0,3,3,2,0,2.3,1.7,1.0,0.0,2,6,3.3,3,3,3,1,3,3,1,3,1,1,3,1,1,1,1,3,3,2,0,3,2,0,2,0,0,2,0,0,0,0,7,7,8,3,5,5,2,6,1,2,4,1,1,1,1,15,0,2,1,0,3,6,1,0,0,0,1
361,5,26,4,7,5.6,1,2,2,2,5,4,4,5,3.0,3.6,3.2,3.4,1,1,0,0,4,4,2,1,2.0,2.8,0.6,0.2,4,8,5.2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,5,2,1,2,1,0,2,1,0,0,0,14,20,17,17,11,8,8,13,13,10,6,6,4,8,3,28,1,2,2,0,17,7,2,0,2,0,1
362,3,13,5,8,6.3,1,3,3,2,2,8,4,4,1.3,5.3,3.3,2.7,0,3,0,0,1,8,2,0,0.3,5.3,0.7,0.0,3,7,4.3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,1,0,1,0,0,1,0,0,0,0,0,0,0,7,12,9,8,7,5,4,8,7,6,5,4,3,5,3,19,0,1,2,0,8,3,2,0,1,1,1
363,3,11,4,5,4.7,1,1,2,1,4,2,5,4,2.3,1.7,3.3,2.7,0,0,1,0,4,2,3,0,1.7,1.0,2.0,0.0,3,4,3.7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,0,1,2,0,2,0,0,1,0,0,0,0,4,6,7,7,2,2,2,3,4,3,1,1,0,1,0,14,0,3,0,0,7,4,0,0,1,0,1
364,4,15,3,7,4.2,1,0,0,1,3,5,6,2,2.0,2.0,3.0,1.5,0,0,0,0,3,4,3,0,1.5,1.0,1.8,0.0,2,5,3.8,4,3,3,4,3,3,4,2,3,3,2,3,3,2,2,3,1,3,0,0,2,0,1,0,0,0,0,0,0,0,10,8,10,6,4,6,5,5,3,3,2,2,3,1,1,17,0,3,0,1,6,7,1,1,2,1,1
365,2,10,6,6,6.0,4,2,4,2,4,4,5,4,4.0,3.0,4.5,3.0,3,1,1,0,4,1,2,0,3.5,1.0,1.5,0.0,4,6,5.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,2,0,0,2,0,0,0,0,6,7,7,6,4,3,4,5,3,3,2,2,1,1,0,12,0,2,0,0,6,4,0,0,0,0,1
366,4,18,3,6,4.5,1,1,1,1,3,4,3,3,2.0,2.5,1.8,2.5,1,0,0,0,2,3,1,1,1.5,2.0,0.5,0.5,3,7,4.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,3,2,2,1,2,1,1,2,1,1,1,10,13,10,14,5,5,8,8,10,8,3,4,4,7,3,18,2,1,1,0,14,2,2,0,1,0,1
367,2,9,5,5,5.0,3,1,4,2,3,1,5,5,3.0,1.0,4.5,3.5,3,0,1,0,3,1,2,0,3.0,0.5,1.5,0.0,4,5,4.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,0,1,2,0,1,0,0,1,0,0,0,0,5,3,7,6,2,4,3,2,2,4,1,1,2,1,0,10,0,2,0,0,6,3,0,0,2,0,1
368,2,9,4,7,5.5,3,1,1,3,3,4,5,4,3.0,2.5,3.0,3.5,2,0,0,0,3,3,2,1,2.5,1.5,1.0,0.5,3,6,4.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,0,0,1,0,0,0,0,5,6,6,7,3,3,4,5,4,4,3,2,2,3,2,11,1,1,0,0,7,2,0,0,0,0,1
369,3,11,4,5,4.3,0,3,0,1,3,4,4,4,1.3,3.7,2.3,2.3,0,3,0,0,0,4,1,0,0.0,3.7,0.7,0.0,2,5,3.7,2,3,2,3,2,1,2,2,3,2,1,2,1,2,1,0,3,2,0,0,0,0,2,0,0,0,0,0,0,0,3,5,8,8,1,1,3,3,2,6,0,1,1,1,0,13,0,2,1,0,8,2,1,0,1,1,1
370,3,11,4,6,5.0,2,1,2,1,5,3,3,4,3.0,2.0,2.3,2.3,0,1,0,0,5,3,2,0,2.0,2.0,1.0,0.0,2,5,3.7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,0,2,1,0,2,0,0,1,0,0,0,0,8,6,10,6,4,7,5,5,2,6,3,2,5,2,2,15,0,2,1,0,6,4,1,0,0,0,1
371,2,10,4,4,4.0,3,1,1,2,3,3,3,2,3.0,2.0,2.0,2.0,2,0,0,0,3,2,1,0,2.5,1.0,0.5,0.0,4,6,5.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,6,7,7,4,3,4,1,5,3,2,2,0,0,2,0,8,0,1,1,0,4,5,1,0,0,0,1
372,3,11,3,7,5.7,1,1,1,1,7,6,3,6,3.7,4.0,2.0,3.7,0,0,0,0,7,5,1,1,3.3,1.7,0.3,0.3,3,5,3.7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,0,0,0,1,1,1,0,0,0,1,0,6,7,6,6,3,2,2,5,4,3,2,1,0,2,0,17,1,0,0,2,6,3,0,2,2,2,1
373,4,20,3,6,4.5,1,0,2,2,4,5,4,5,2.2,2.8,2.8,2.8,0,0,0,0,2,5,2,0,1.2,2.5,0.8,0.0,3,9,5.0,4,3,4,4,3,4,4,3,3,4,3,3,4,3,3,3,3,2,0,2,2,0,1,0,0,1,0,0,0,0,16,13,11,12,10,9,10,6,6,5,5,5,4,1,1,18,0,2,2,0,12,6,2,0,1,1,1
374,2,5,3,4,3.5,0,2,1,1,1,3,3,2,0.5,2.5,2.0,1.5,0,2,0,0,1,3,0,1,0.5,2.5,0.0,0.5,2,3,2.5,1,2,2,2,1,1,1,2,2,2,1,1,1,2,1,1,2,0,1,1,0,1,0,1,0,0,1,0,0,0,1,3,2,4,1,0,1,0,2,2,0,1,0,0,0,7,1,0,1,0,4,0,1,0,1,1,1
375,3,18,4,4,4.0,2,1,1,2,3,2,3,4,2.3,1.7,2.3,2.7,1,1,0,0,3,1,2,0,2.0,1.0,1.0,0.0,4,8,6.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,0,3,2,0,2,0,0,2,0,0,0,0,12,11,10,12,6,7,8,6,6,5,3,3,4,2,1,12,0,2,1,0,12,5,1,0,1,0,1
376,3,12,4,7,5.0,1,1,3,1,6,4,6,3,3.0,2.3,4.0,2.3,0,1,0,0,6,4,3,0,2.0,2.0,1.0,0.0,3,5,4.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,1,0,1,0,0,1,0,0,0,0,0,0,0,5,7,8,7,4,2,3,4,2,5,2,2,1,1,1,15,0,1,2,0,7,3,2,0,1,1,1
377,4,20,3,5,4.0,2,1,1,1,4,4,3,4,3.0,2.5,2.2,2.5,0,0,0,0,4,4,1,0,2.2,1.2,0.5,0.0,3,8,5.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,0,1,1,0,1,0,0,0,0,0,0,0,16,9,13,10,7,9,8,6,2,6,4,2,4,1,1,16,0,2,1,1,10,7,2,1,1,1,1
378,4,19,3,3,3.0,1,0,1,2,2,2,2,3,1.5,1.0,1.8,2.8,1,0,0,0,2,1,2,0,1.2,0.5,1.2,0.0,3,7,4.8,4,3,4,4,3,4,4,3,3,4,3,3,4,3,3,4,2,3,0,2,3,0,1,0,0,1,0,0,0,0,13,7,10,10,5,8,5,3,2,3,2,1,2,0,0,12,0,3,1,0,10,7,2,0,3,0,1
379,3,10,4,7,5.3,1,2,3,1,3,4,5,5,1.7,3.3,3.7,2.7,1,1,0,0,3,4,2,0,1.7,2.7,1.0,0.0,3,4,3.3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,0,3,2,0,2,0,0,2,0,0,0,0,6,7,6,6,6,3,3,4,4,3,3,3,1,2,1,16,0,2,1,0,6,3,1,0,2,0,1
380,2,8,3,6,4.5,2,1,2,1,2,2,3,6,2.0,1.5,2.5,3.5,0,0,2,0,1,2,3,1,0.5,1.0,2.5,0.5,4,4,4.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,0,1,0,1,1,1,0,0,0,1,0,4,3,5,6,1,2,3,2,2,3,0,1,1,1,0,9,1,1,0,0,6,2,0,0,1,0,1
381,2,10,3,6,4.5,2,1,2,2,3,2,4,2,2.5,1.5,3.0,2.0,2,0,0,0,3,1,3,0,2.5,0.5,1.5,0.0,5,5,5.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,7,7,8,5,4,6,3,5,4,4,3,2,3,3,2,9,0,1,1,0,5,4,1,0,0,0,1
382,3,16,3,6,4.7,1,1,2,2,5,3,3,6,3.3,2.0,2.7,3.7,1,0,0,0,5,0,3,0,3.0,0.0,1.7,0.0,4,7,5.3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,2,0,0,2,0,0,0,0,0,0,0,0,0,12,9,7,10,7,5,6,3,6,4,2,4,2,2,1,14,0,2,0,1,10,3,2,1,2,1,1
383,6,32,3,5,4.5,1,2,0,0,4,4,5,4,2.5,3.3,2.5,2.3,0,0,0,0,4,4,5,0,2.0,1.3,1.2,0.0,2,7,5.3,6,6,5,5,6,5,5,5,5,5,5,5,5,5,5,5,3,3,0,3,2,0,1,0,0,1,0,0,0,0,19,23,19,16,11,10,8,12,12,9,4,4,4,6,1,27,0,3,2,1,16,10,5,1,3,2,0
384,5,19,3,5,4.2,1,1,1,1,3,4,3,4,1.8,2.2,2.0,2.0,0,1,0,0,2,3,3,1,1.2,2.0,0.8,0.2,3,5,3.8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,2,1,4,1,1,2,1,1,1,1,1,1,1,9,14,12,12,6,4,5,8,7,9,2,2,4,5,2,21,1,1,3,0,12,3,4,0,0,0,1
385,3,13,3,4,3.7,1,2,2,0,2,3,3,2,1.7,2.3,2.7,1.3,0,2,0,0,2,3,2,0,0.7,2.3,0.7,0.0,3,5,4.3,3,3,3,2,3,3,2,3,2,2,3,2,2,2,2,1,3,1,0,1,0,0,1,0,0,0,0,0,0,0,7,9,6,7,6,2,4,3,4,2,2,3,0,0,0,11,0,1,2,0,7,4,2,0,2,1,1
386,3,11,4,6,4.7,1,2,1,1,2,4,5,4,1.7,3.0,2.3,2.3,1,2,0,0,2,3,2,0,1.3,2.3,1.0,0.0,3,4,3.7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,0,3,2,0,2,0,0,2,0,0,0,0,5,7,7,7,4,3,2,4,3,4,2,1,1,1,0,14,0,2,1,0,7,3,1,0,1,0,1
387,2,9,4,6,5.0,2,0,2,1,3,2,4,3,2.5,1.0,3.0,2.0,1,0,1,0,2,1,4,1,1.5,0.5,2.5,0.5,2,7,4.5,2,1,2,2,1,2,2,1,1,2,1,1,2,1,1,2,1,2,1,1,2,1,1,0,1,1,0,1,0,0,7,3,7,8,2,5,6,2,2,6,1,1,4,1,0,10,1,1,0,0,8,1,0,0,0,0,1
388,2,7,5,6,5.5,1,1,4,0,4,3,4,4,2.5,2.0,4.0,2.0,1,0,0,0,2,3,4,1,1.5,1.5,2.0,0.5,3,4,3.5,2,2,2,1,2,2,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,0,0,1,0,0,1,0,0,6,4,5,3,3,4,2,2,2,2,1,1,1,1,0,11,1,0,1,0,3,3,1,0,0,0,1
