,#gens,#Terms,min_deg,max_deg,av_deg,min_terms,max_terms,av_terms,deg_sum(F),#pure_var_power,#pure_var_power_lt,min_deg_of_X_1,min_deg_of_X_2,min_deg_of_X_3,min_deg_of_X_4,max_deg_of_X_1,max_deg_of_X_2,max_deg_of_X_3,max_deg_of_X_4,av_deg_of_X_1,av_deg_of_X_2,av_deg_of_X_3,av_deg_of_X_4,min_lt_deg_of_X_1,min_lt_deg_of_X_2,min_lt_deg_of_X_3,min_lt_deg_of_X_4,max_lt_deg_of_X_1,max_lt_deg_of_X_2,max_lt_deg_of_X_3,max_lt_deg_of_X_4,av_lt_deg_of_X_1,av_lt_deg_of_X_2,av_lt_deg_of_X_3,av_lt_deg_of_X_4,generators_with_X1,generators_with_X2,generators_with_X1_X2,generators_with_X3,generators_with_X1_X3,generators_with_X2_X3,generators_with_X1_X2_X3,generators_with_X4,generators_with_X1_X4,generators_with_X2_X4,generators_with_X1_X2_X4,generators_with_X3_X4,generators_with_X1_X3_X4,generators_with_X2_X3_X4,generators_with_X1_X2_X3_X4,lt_with_X1,lt_with_X2,lt_with_X1_X2,lt_with_X3,lt_with_X1_X3,lt_with_X2_X3,lt_with_X1_X2_X3,lt_with_X4,lt_with_X1_X4,lt_with_X2_X4,lt_with_X1_X2_X4,lt_with_X3_X4,lt_with_X1_X3_X4,lt_with_X2_X3_X4,lt_with_X1_X2_X3_X4,terms_with_X1,terms_with_X2,terms_with_X1_X2,terms_with_X3,terms_with_X1_X3,terms_with_X2_X3,terms_with_X1_X2_X3,terms_with_X4,terms_with_X1_X4,terms_with_X2_X4,terms_with_X1_X2_X4,terms_with_X3_X4,terms_with_X1_X3_X4,terms_with_X2_X3_X4,terms_with_X1_X2_X3_X4,"[2,1]","[3,1]","[3,2]","[4,1]","[4,2]","[4,3]",output
487,2,7,4,6,5.0,3,4,3.5,10,0,0,1,3,1,3,3,4,4,3,2.0,3.5,2.5,3.0,1,3,0,0,2,4,0,0,1.5,3.5,0.0,0.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,3,0,2,0,5,2,3,1,3,0,2,0,1,0,0,2,1,2,4
488,4,15,3,5,4.0,2,6,3.8,16,2,0,1,0,2,1,4,2,4,4,2.2,1.2,3.0,2.2,0,0,0,0,4,2,3,0,2.0,0.8,1.2,0.0,4,3,3,4,4,3,3,4,4,3,3,4,4,3,3,3,2,1,3,2,1,0,0,0,0,0,0,0,0,0,8,7,4,12,6,5,2,9,4,4,2,7,3,3,1,1,3,2,7,20,0,4
489,2,10,3,5,4.0,4,6,5.0,8,0,0,2,2,2,0,3,4,2,4,2.5,3.0,2.0,2.0,1,1,0,0,2,4,0,0,1.5,2.5,0.0,0.0,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,9,5,4,2,3,1,5,2,5,2,2,1,2,1,2,1,3,0,0,0,2
490,4,15,3,6,4.2,2,6,3.8,17,2,2,1,0,1,2,4,4,3,3,2.5,1.8,2.2,2.2,0,0,0,0,4,4,1,1,2.0,1.5,0.5,0.2,4,3,3,4,4,3,3,4,4,3,3,4,4,3,3,3,2,1,2,2,1,1,1,1,0,0,1,1,0,0,8,8,2,10,5,5,1,9,4,5,1,6,2,3,0,0,0,0,0,0,6,6
491,4,22,3,5,4.2,2,7,5.5,17,2,0,1,2,1,1,4,4,5,4,2.5,2.8,3.0,2.8,1,0,0,0,3,4,4,1,1.8,1.2,1.0,0.2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1,1,0,0,1,1,0,0,0,0,0,0,13,11,7,9,3,3,1,15,8,7,4,4,0,1,0,2,2,2,4,13,21,4
492,4,20,3,6,4.2,4,6,5.0,17,4,1,1,1,2,2,5,5,6,5,2.2,3.0,3.2,3.2,0,1,0,0,5,3,1,1,1.8,2.0,0.2,0.2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,1,1,1,1,1,1,1,1,1,1,1,1,11,12,7,10,4,5,2,11,8,5,4,5,4,2,2,2,5,0,16,0,0,4
493,4,18,4,6,5.2,4,5,4.5,21,2,1,3,2,0,2,4,4,2,5,3.5,3.0,1.5,2.8,0,0,0,0,4,3,2,0,2.8,1.5,1.0,0.0,4,4,4,3,3,3,3,4,4,4,4,3,3,3,3,3,3,2,3,2,3,2,0,0,0,0,0,0,0,0,13,13,9,10,8,7,5,13,9,9,6,7,6,4,3,0,0,2,0,34,46,5
494,6,28,3,8,4.3,3,6,4.7,26,5,1,0,1,2,2,3,5,6,7,1.3,2.7,3.2,3.7,0,0,0,0,3,5,6,1,1.3,1.7,1.2,0.2,4,6,4,6,4,6,4,6,4,6,4,6,4,6,4,4,5,3,2,1,1,0,1,1,0,0,1,1,0,0,13,13,7,16,7,5,3,17,7,4,2,11,5,2,2,3,3,0,9,0,0,4
495,2,7,4,5,4.5,3,4,3.5,9,0,0,3,0,1,2,4,3,3,4,3.5,1.5,2.0,3.0,2,0,0,0,4,2,0,1,3.0,1.0,0.0,0.5,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,4,3,1,3,1,1,0,6,3,2,0,3,1,1,0,1,0,0,1,2,3,4
496,2,11,4,5,4.5,3,8,5.5,9,1,1,2,2,1,2,4,4,3,3,3.0,3.0,2.0,2.5,0,0,0,0,4,4,1,0,2.0,2.0,0.5,0.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,8,7,5,6,3,3,1,6,5,4,4,3,2,1,1,0,0,1,0,0,0,3
497,4,20,3,8,5.2,3,7,5.0,21,2,0,2,1,2,1,5,3,4,6,3.5,2.0,3.5,3.2,1,0,0,0,3,1,4,0,2.2,0.8,2.2,0.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,2,2,0,0,0,0,0,0,0,0,13,12,7,12,8,7,4,13,9,7,4,6,5,3,2,1,1,3,5,13,12,4
498,3,8,5,6,5.3,2,3,2.7,16,0,0,2,1,3,2,4,2,4,3,2.7,1.3,3.3,2.7,1,0,1,0,2,1,4,2,1.3,0.7,2.7,0.7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,2,2,1,1,1,1,1,1,1,1,6,4,3,4,3,2,2,6,4,3,2,2,1,1,1,0,2,2,9,13,8,4
500,2,8,4,7,5.5,4,4,4.0,11,0,0,3,2,3,2,5,3,5,4,4.0,2.5,4.0,3.0,3,0,0,0,5,1,2,0,4.0,0.5,1.0,0.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,5,5,3,6,3,3,1,4,2,3,2,3,1,2,1,1,1,2,0,0,0,2
501,3,15,4,5,4.3,4,6,5.0,13,3,1,1,2,3,0,5,5,3,4,2.7,3.3,3.0,1.7,0,0,0,0,5,3,3,0,2.0,1.3,1.0,0.0,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,8,10,5,10,5,7,3,7,5,3,3,5,4,2,2,0,0,0,0,0,4,6
502,4,19,3,5,4.0,3,6,4.8,16,0,0,1,1,1,1,3,3,2,3,2.0,2.0,1.8,1.8,0,1,0,0,3,3,2,0,1.5,1.8,0.8,0.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,2,1,2,1,0,0,0,0,0,0,0,0,13,14,9,14,8,11,6,12,9,7,5,9,6,6,4,1,0,5,13,2,13,4
503,3,10,3,4,3.7,3,4,3.3,11,1,0,0,1,1,1,3,2,2,4,1.3,1.7,1.7,2.3,0,0,0,0,3,2,1,1,1.3,1.3,0.7,0.3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,2,2,1,2,1,1,0,1,0,1,0,1,0,1,0,6,4,2,6,3,2,0,6,2,3,1,3,0,2,0,1,1,0,1,4,6,4
504,3,10,5,8,6.0,2,5,3.3,18,1,1,1,2,1,3,2,6,3,6,1.7,4.3,1.7,4.0,0,2,0,0,2,6,1,0,1.0,4.3,0.7,0.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,2,2,2,0,0,0,0,0,0,0,0,6,8,4,6,4,5,3,7,4,5,2,4,2,3,1,1,1,0,11,0,12,4
505,2,15,4,5,4.5,7,8,7.5,9,1,0,3,2,2,3,3,3,4,4,3.0,2.5,3.0,3.5,1,1,0,0,3,3,1,0,2.0,2.0,0.5,0.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,10,8,5,8,4,5,2,10,7,4,3,4,2,2,1,1,1,4,0,0,0,2
506,2,9,5,7,6.0,3,6,4.5,12,0,0,3,3,4,1,4,3,4,4,3.5,3.0,4.0,2.5,3,2,0,0,4,2,0,1,3.5,2.0,0.0,0.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,1,1,1,1,0,0,0,0,6,9,6,4,2,4,2,6,4,6,4,3,2,3,2,1,0,0,1,6,7,1
507,2,7,4,5,4.5,3,4,3.5,9,1,0,2,2,2,1,3,4,3,4,2.5,3.0,2.5,2.5,0,2,0,0,2,4,1,0,1.0,3.0,0.5,0.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,3,5,2,4,1,3,0,4,1,3,1,2,0,2,0,1,1,3,0,0,0,2
508,3,13,3,4,3.7,3,6,4.3,11,3,2,2,0,2,2,4,3,3,3,3.0,1.7,2.3,2.3,2,0,0,0,4,2,0,0,3.0,0.7,0.0,0.0,3,2,2,3,3,2,2,3,3,2,2,3,3,2,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,5,4,7,3,3,2,6,4,1,1,3,1,0,0,0,0,6,0,1,0,3
509,3,13,4,5,4.3,3,5,4.3,13,1,1,2,3,1,0,3,5,3,2,2.3,3.7,2.0,1.0,0,1,0,0,3,5,0,0,1.7,2.7,0.0,0.0,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,10,10,7,7,6,4,3,3,2,2,1,1,1,0,0,4,3,0,1,0,0,2
510,2,9,4,5,4.5,4,5,4.5,9,3,2,4,1,3,1,5,1,5,3,4.5,1.0,4.0,2.0,4,0,0,0,5,0,0,0,4.5,0.0,0.0,0.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,2,6,4,3,2,2,2,1,1,1,1,1,1,0,0,6,0,0,0,3
511,2,8,3,5,4.0,2,6,4.0,8,2,0,1,2,3,1,2,3,3,3,1.5,2.5,3.0,2.0,1,2,0,0,2,3,0,0,1.5,2.5,0.0,0.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,5,2,1,0,4,1,1,0,3,1,1,0,1,3,1,0,0,0,4
512,2,10,5,6,5.5,4,6,5.0,11,0,0,3,3,3,2,4,4,3,3,3.5,3.5,3.0,2.5,1,3,0,0,3,4,0,0,2.0,3.5,0.0,0.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,7,6,3,6,3,3,0,6,4,3,1,4,2,2,0,2,1,1,0,0,0,4
513,6,27,3,6,4.7,3,6,4.5,28,2,1,2,2,1,0,6,4,4,4,3.3,2.7,2.3,2.2,2,0,0,0,6,2,1,1,3.3,0.8,0.3,0.2,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,6,4,4,2,2,1,1,1,1,0,0,1,1,0,0,18,19,11,18,12,12,7,12,5,7,1,8,3,4,0,0,0,0,0,0,7,6
514,3,12,4,5,4.7,3,5,4.0,14,0,0,3,1,1,1,4,3,2,4,3.7,2.3,1.7,3.0,1,0,0,0,4,2,1,1,3.0,1.0,0.3,0.3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,1,1,1,1,1,0,0,0,0,0,0,9,5,3,5,4,1,1,8,5,2,0,3,2,0,0,1,1,1,1,14,25,4
515,3,12,3,5,3.7,3,5,4.0,11,3,1,1,1,0,1,3,3,2,3,2.3,2.0,1.3,2.0,1,0,0,0,3,2,0,1,2.0,1.3,0.0,0.3,3,3,3,2,2,2,2,3,3,3,3,2,2,2,2,3,2,2,0,0,0,0,1,1,1,1,0,0,0,0,10,5,4,3,3,1,1,8,7,3,3,2,2,1,1,0,0,0,0,0,15,6
516,2,12,5,7,6.0,5,7,6.0,12,0,0,3,2,3,4,4,3,4,6,3.5,2.5,3.5,5.0,3,2,0,0,3,2,2,0,3.0,2.0,1.0,0.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,7,9,4,7,5,5,3,9,5,6,2,5,4,3,2,1,0,1,1,0,1,4
517,3,12,4,9,6.0,3,6,4.0,18,1,1,2,1,1,2,5,3,4,6,3.3,2.0,2.7,3.7,1,0,0,0,5,2,4,2,3.0,0.7,1.7,0.7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,2,1,1,1,1,1,1,1,1,1,1,8,8,5,6,4,4,3,8,5,6,4,3,2,2,2,0,0,5,0,21,6,5
518,3,13,3,5,3.7,3,6,4.3,11,3,2,1,2,1,1,3,3,4,3,2.3,2.7,2.3,2.0,0,0,0,0,3,3,2,0,1.0,2.0,0.7,0.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,6,4,0,10,5,3,0,8,4,1,0,7,4,1,0,0,0,0,0,0,1,6
519,2,6,3,4,3.5,3,3,3.0,7,0,0,1,1,1,2,2,2,2,2,1.5,1.5,1.5,2.0,0,1,1,0,2,2,1,0,1.0,1.5,1.0,0.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,0,0,0,0,0,0,0,0,3,4,2,4,2,2,1,3,1,2,1,1,0,0,0,0,3,3,1,1,0,2
520,4,19,3,8,5.0,3,6,4.8,20,3,2,2,2,2,1,4,5,5,4,2.8,3.2,3.0,2.0,0,0,0,0,3,5,5,0,1.8,1.2,2.0,0.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,1,1,3,2,1,1,0,0,0,0,0,0,0,0,12,11,7,12,8,6,4,12,7,8,5,6,4,3,2,0,0,5,0,35,0,5
521,7,30,3,7,5.0,2,6,4.3,35,3,1,1,1,2,1,6,6,7,4,2.3,3.1,3.0,2.6,1,0,0,0,6,4,3,0,1.9,2.0,1.1,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,4,4,4,4,0,0,0,0,0,0,0,0,19,20,12,18,11,13,8,19,12,11,6,10,7,6,4,0,0,3,0,11,0,5
522,6,29,3,6,4.2,4,6,4.8,25,0,0,2,0,1,1,3,4,4,3,2.5,2.2,2.0,2.3,2,0,0,0,3,2,4,1,2.2,0.8,0.8,0.3,6,5,5,6,6,5,5,6,6,5,5,6,6,5,5,6,3,3,2,2,0,0,2,2,1,1,0,0,0,0,18,16,8,15,7,7,2,20,11,10,4,9,3,4,1,2,1,2,3,11,10,4
523,4,20,4,7,5.2,2,8,5.0,21,2,1,2,3,1,0,4,4,6,5,3.0,3.2,2.5,2.2,1,0,0,0,4,4,3,0,2.8,1.8,0.8,0.0,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,2,2,1,1,0,0,0,0,0,0,0,0,0,0,13,12,8,10,5,5,2,11,7,5,4,5,3,1,1,0,0,2,0,4,62,5
524,4,14,3,7,4.5,2,5,3.5,18,2,0,2,0,1,1,6,4,3,3,3.5,1.8,2.0,2.0,1,0,0,0,6,4,1,0,2.8,1.5,0.2,0.0,4,3,3,4,4,3,3,4,4,3,3,4,4,3,3,4,3,3,1,1,0,0,0,0,0,0,0,0,0,0,6,9,4,7,2,4,1,9,2,6,1,5,1,4,1,2,2,2,6,17,0,4
525,3,13,4,8,5.7,3,5,4.3,17,0,0,2,2,2,1,7,4,3,6,3.7,2.7,2.3,3.0,1,0,0,0,7,2,3,0,3.3,1.0,1.3,0.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,1,1,0,0,0,0,0,0,0,0,7,10,5,7,3,4,1,10,4,8,3,5,1,3,0,1,1,2,2,19,15,2
526,5,16,3,5,3.8,2,5,3.2,19,1,0,1,0,1,1,3,2,3,4,2.0,0.8,1.8,2.6,1,0,0,0,3,2,1,2,1.8,0.8,0.4,0.8,5,2,2,5,5,2,2,5,5,2,2,5,5,2,2,5,2,2,2,2,1,1,3,3,1,1,1,1,1,1,10,6,5,9,5,2,2,14,8,5,4,8,4,2,2,1,1,1,3,9,8,4
528,5,19,3,6,3.6,2,5,3.8,18,2,1,1,0,1,1,2,6,2,5,1.6,2.2,1.6,2.6,0,0,0,0,2,6,2,1,0.8,2.2,0.4,0.2,5,4,4,5,5,4,4,5,5,4,4,5,5,4,4,3,4,3,1,0,0,0,1,0,0,0,1,0,0,0,14,10,8,10,8,5,5,11,7,4,3,6,4,3,3,3,1,0,4,0,12,4
529,3,12,3,5,4.0,3,6,4.0,12,1,0,0,1,1,2,4,2,4,2,2.3,1.7,2.3,2.0,0,0,0,0,4,2,1,1,2.3,0.7,0.7,0.3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,2,1,0,2,1,1,0,1,1,0,0,0,0,0,0,4,7,1,8,1,5,0,7,3,4,1,3,0,2,0,0,2,2,3,3,4,2
530,3,10,5,7,5.7,2,5,3.3,17,2,1,0,0,3,1,2,3,5,4,1.3,2.0,4.3,2.3,0,0,2,0,1,3,5,1,0.3,2.0,3.0,0.3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,1,2,1,3,1,2,1,1,1,1,1,1,1,1,1,4,5,2,9,3,5,2,7,4,4,2,6,3,4,2,0,2,2,27,10,0,2
531,3,15,4,8,6.0,4,6,5.0,18,1,0,2,1,2,3,4,3,5,5,3.0,2.0,4.0,4.0,0,0,1,0,3,1,5,0,1.7,0.7,3.7,0.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,3,2,2,1,0,0,0,0,0,0,0,0,11,8,6,9,6,4,2,12,9,6,5,6,4,2,1,0,3,3,16,17,5,4
532,3,8,3,4,3.7,2,4,2.7,11,0,0,1,0,1,1,3,2,3,2,1.7,1.3,1.7,1.3,1,0,0,0,3,2,1,1,1.7,1.0,0.3,0.7,3,2,2,3,3,2,2,3,3,2,2,3,3,2,2,3,2,2,1,1,1,1,2,2,1,1,0,0,0,0,5,4,3,4,2,2,2,7,4,3,2,3,1,1,1,0,1,1,7,7,9,4
533,2,9,3,3,3.0,4,5,4.5,6,1,0,2,1,1,1,2,2,3,2,2.0,1.5,2.0,1.5,2,0,0,0,2,1,1,0,2.0,0.5,0.5,0.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,7,4,3,4,2,1,0,4,3,2,1,1,0,1,0,1,1,3,0,0,0,4
534,3,14,3,5,3.7,3,6,4.7,11,2,0,2,2,1,1,3,5,5,2,2.3,3.0,2.7,1.3,1,0,0,0,3,2,1,0,2.0,1.3,0.3,0.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,7,7,2,9,5,2,0,6,1,4,0,4,1,2,0,2,3,0,1,0,5,2
535,3,11,3,7,5.3,3,4,3.7,16,0,0,1,1,1,0,3,6,3,5,2.0,3.0,2.0,2.7,1,0,0,0,3,6,1,2,2.0,2.3,0.3,0.7,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2,1,1,0,0,1,1,0,0,1,1,0,0,7,7,3,7,4,3,0,5,4,1,0,4,4,0,0,2,0,1,4,1,14,1
536,2,10,3,5,4.0,4,6,5.0,8,1,1,2,1,2,2,2,5,3,3,2.0,3.0,2.5,2.5,0,1,0,0,2,5,0,0,1.0,3.0,0.0,0.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,5,6,2,7,4,3,1,5,3,2,1,4,3,1,1,2,1,0,0,0,0,2
537,4,17,3,5,4.2,3,6,4.2,17,0,0,2,0,1,1,3,4,3,4,2.5,2.0,2.0,2.5,1,0,0,0,3,4,1,1,2.0,1.2,0.8,0.2,4,3,3,4,4,3,3,4,4,3,3,4,4,3,3,4,2,2,3,3,1,1,1,1,0,0,1,1,0,0,11,8,4,13,7,6,2,9,5,3,1,6,2,2,0,1,5,2,5,0,10,4
539,5,25,3,5,4.2,3,7,5.0,21,1,1,2,1,1,1,4,5,4,3,3.0,2.6,2.0,2.4,0,1,0,0,3,5,0,0,2.0,2.2,0.0,0.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,11,17,6,14,4,8,1,15,3,10,1,9,0,6,0,3,2,0,4,0,17,4
540,4,15,3,6,4.0,3,5,3.8,16,1,0,2,1,0,1,2,3,4,4,2.0,2.0,1.8,2.5,1,0,0,0,2,2,3,0,1.8,1.2,1.0,0.0,4,4,4,3,3,3,3,4,4,4,4,3,3,3,3,4,3,3,2,2,1,1,0,0,0,0,0,0,0,0,13,9,8,8,7,4,3,7,5,4,3,2,1,1,0,1,3,0,8,14,14,4
542,4,17,3,7,5.5,2,7,4.2,22,3,1,2,2,2,1,4,3,4,4,3.0,2.5,3.0,2.5,0,0,0,0,3,3,4,2,2.0,1.8,1.2,0.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,2,1,2,1,1,1,1,1,0,0,0,0,9,10,5,12,6,6,3,9,5,5,3,6,3,2,1,0,0,8,0,13,15,4
543,4,13,3,6,4.5,2,4,3.2,18,0,0,1,1,1,0,1,3,4,4,1.0,2.0,2.5,2.0,1,0,0,0,1,3,2,1,1.0,1.5,1.5,0.5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,3,3,3,3,2,2,2,2,1,1,2,2,1,1,6,9,3,11,5,7,2,9,4,5,1,8,4,4,1,1,0,1,13,7,16,1
544,4,19,4,7,5.8,2,8,4.8,23,1,1,3,1,0,0,4,5,4,3,3.5,3.0,2.2,1.8,1,0,0,0,4,5,2,0,2.2,2.8,0.8,0.0,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,4,3,3,2,2,2,2,0,0,0,0,0,0,0,0,18,12,11,14,13,9,8,12,11,7,6,9,8,5,4,0,0,1,0,6,22,3
545,5,19,3,5,3.8,3,4,3.8,19,1,0,0,1,2,1,3,4,4,3,1.8,2.4,2.4,1.8,0,0,0,0,2,4,2,1,0.8,2.2,0.6,0.2,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,3,4,2,2,1,1,0,1,0,1,0,0,0,0,0,7,11,4,13,3,8,2,12,4,5,2,8,2,4,2,2,1,2,18,1,7,4
546,2,7,4,6,5.0,3,4,3.5,10,2,0,0,2,2,4,4,2,4,4,2.0,2.0,3.0,4.0,0,1,1,0,4,2,2,0,2.0,1.5,1.5,0.0,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,2,1,2,1,2,1,0,0,0,0,0,0,0,0,2,4,2,6,2,4,2,4,1,2,1,3,1,2,1,0,3,3,1,1,0,2
547,2,10,5,5,5.0,4,6,5.0,10,1,1,3,2,1,2,5,4,3,4,4.0,3.0,2.0,3.0,3,0,0,0,5,0,1,1,4.0,0.0,0.5,0.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,1,0,0,1,1,0,0,1,1,0,0,4,7,2,7,3,5,2,8,2,6,1,6,2,4,1,0,0,0,0,5,5,6
548,2,6,3,4,3.5,3,3,3.0,7,0,0,1,2,0,2,2,3,1,2,1.5,2.5,0.5,2.0,1,2,0,0,2,2,0,0,1.5,2.0,0.0,0.0,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,1,0,1,0,3,1,2,0,1,0,1,0,1,0,0,1,1,2,4
549,3,11,4,5,4.7,3,5,3.7,14,1,1,1,1,1,2,4,5,3,4,3.0,3.0,2.3,3.3,0,1,0,0,4,5,2,0,1.7,2.3,0.7,0.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,1,1,1,1,0,0,0,0,0,0,0,0,5,9,4,6,3,4,2,6,2,5,2,3,1,2,1,2,2,0,0,0,6,2
550,5,15,3,5,4.2,2,4,3.0,21,1,1,1,1,0,0,4,2,3,2,2.4,1.8,2.0,1.4,1,0,0,0,4,2,3,1,2.4,0.8,0.8,0.2,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,5,3,3,2,2,1,1,1,1,0,0,1,1,0,0,10,11,7,8,4,6,3,9,5,6,3,6,3,4,2,0,0,1,0,7,13,5
551,4,13,4,6,5.2,2,4,3.2,21,1,1,2,1,0,3,5,4,3,4,3.0,2.5,1.5,3.8,1,0,0,0,5,4,2,1,2.2,2.0,0.8,0.2,4,4,4,3,3,3,3,4,4,4,4,3,3,3,3,4,3,3,2,2,2,2,1,1,1,1,0,0,0,0,9,9,7,8,4,6,4,9,5,6,4,5,1,3,1,0,0,2,0,24,37,5
552,4,15,3,5,3.8,3,5,3.8,15,3,1,0,1,0,2,4,3,5,3,2.0,2.0,2.0,2.8,0,0,0,0,4,3,1,0,2.0,1.5,0.2,0.0,3,4,3,3,2,3,2,4,3,4,3,3,2,3,2,3,3,2,1,0,1,0,0,0,0,0,0,0,0,0,7,7,2,5,1,2,0,10,4,4,0,3,1,1,0,0,0,2,0,6,0,5
553,2,10,3,5,4.0,3,7,5.0,8,2,1,3,2,1,1,3,2,4,3,3.0,2.0,2.5,2.0,3,0,0,0,3,2,0,0,3.0,1.0,0.0,0.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,6,4,4,3,2,1,5,2,4,2,2,1,2,1,0,0,1,0,1,2,5
554,3,12,4,6,5.0,2,6,4.0,15,1,1,2,2,2,0,4,6,4,2,3.0,3.3,3.0,1.0,0,2,0,0,3,6,0,0,1.7,3.3,0.0,0.0,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,8,12,8,8,5,8,5,6,4,6,4,5,3,5,3,2,4,0,0,0,0,1
555,3,16,3,4,3.3,4,7,5.3,10,3,1,2,1,0,1,3,3,3,3,2.7,2.0,1.7,2.3,1,0,0,0,3,2,1,0,2.3,0.7,0.3,0.0,3,3,3,2,2,2,2,3,3,3,3,2,2,2,2,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,8,9,4,7,4,3,2,8,2,4,1,2,0,0,0,0,0,0,0,0,4,6
556,3,17,3,5,4.0,4,8,5.7,12,2,0,2,2,1,2,3,5,3,3,2.3,3.0,2.3,2.3,1,1,0,0,2,4,1,0,1.3,2.3,0.3,0.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,0,0,0,0,0,0,0,0,13,11,8,9,8,6,5,9,7,4,3,4,4,2,2,3,3,0,3,0,2,4
