,#gens,#Terms,min_deg,max_deg,av_deg,min_terms,max_terms,av_terms,deg_sum(F),#pure_var_power,#pure_var_power_lt,min_deg_of_X_1,min_deg_of_X_2,min_deg_of_X_3,min_deg_of_X_4,max_deg_of_X_1,max_deg_of_X_2,max_deg_of_X_3,max_deg_of_X_4,av_deg_of_X_1,av_deg_of_X_2,av_deg_of_X_3,av_deg_of_X_4,min_lt_deg_of_X_1,min_lt_deg_of_X_2,min_lt_deg_of_X_3,min_lt_deg_of_X_4,max_lt_deg_of_X_1,max_lt_deg_of_X_2,max_lt_deg_of_X_3,max_lt_deg_of_X_4,av_lt_deg_of_X_1,av_lt_deg_of_X_2,av_lt_deg_of_X_3,av_lt_deg_of_X_4,cls_1,cls_2,cls_3,cls_4,cls_of_lt_1,cls_of_lt_2,cls_of_lt_3,cls_of_lt_4,generators_with_X1,generators_with_X2,generators_with_X1_X2,generators_with_X3,generators_with_X1_X3,generators_with_X2_X3,generators_with_X1_X2_X3,generators_with_X4,generators_with_X1_X4,generators_with_X2_X4,generators_with_X1_X2_X4,generators_with_X3_X4,generators_with_X1_X3_X4,generators_with_X2_X3_X4,generators_with_X1_X2_X3_X4,lt_with_X1,lt_with_X2,lt_with_X1_X2,lt_with_X3,lt_with_X1_X3,lt_with_X2_X3,lt_with_X1_X2_X3,lt_with_X4,lt_with_X1_X4,lt_with_X2_X4,lt_with_X1_X2_X4,lt_with_X3_X4,lt_with_X1_X3_X4,lt_with_X2_X3_X4,lt_with_X1_X2_X3_X4,terms_with_X1,terms_with_X2,terms_with_X1_X2,terms_with_X3,terms_with_X1_X3,terms_with_X2_X3,terms_with_X1_X2_X3,terms_with_X4,terms_with_X1_X4,terms_with_X2_X4,terms_with_X1_X2_X4,terms_with_X3_X4,terms_with_X1_X3_X4,terms_with_X2_X3_X4,terms_with_X1_X2_X3_X4,QS
2057,2,7,4,5,4.5,3,4,3.5,9,1,1,3,0,2,1,3,4,4,2,3.0,2.0,3.0,1.5,0,0,0,0,3,4,2,0,1.5,2.0,1.0,0.0,3,3,1,0,0,1,1,0,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,6,1,0,5,5,0,0,3,3,0,0,2,2,0,0,1
2058,5,18,3,6,4.6,2,5,3.6,23,1,1,3,1,1,1,3,3,3,3,3.0,1.8,2.0,1.8,1,0,0,0,3,3,3,1,2.2,1.2,1.0,0.2,13,4,0,1,1,3,0,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,3,3,1,1,1,1,1,1,0,0,0,0,14,8,4,12,8,5,1,13,9,7,3,8,4,4,0,1
2059,3,9,4,7,5.7,2,4,3.0,17,0,0,3,1,2,0,5,3,5,5,3.7,2.0,3.3,2.7,3,1,0,0,5,2,2,0,3.7,1.3,0.7,0.0,3,4,2,0,0,1,2,0,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,3,3,1,1,1,1,0,0,0,0,0,0,0,0,7,7,5,6,4,4,2,3,2,3,2,2,1,2,1,1
2060,2,11,3,3,3.0,4,7,5.5,6,1,0,1,1,2,2,2,3,2,2,1.5,2.0,2.0,2.0,1,0,0,0,2,2,1,0,1.5,1.0,0.5,0.0,6,3,2,0,0,1,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,6,6,1,4,3,1,0,6,3,3,0,1,1,0,0,1
2061,2,5,3,6,4.5,2,3,2.5,9,0,0,1,1,2,0,2,1,4,4,1.5,1.0,3.0,2.0,1,0,0,0,2,1,4,1,1.5,0.5,2.0,0.5,3,1,1,0,1,0,1,0,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,1,1,0,0,1,1,0,0,3,2,1,4,2,1,0,3,1,1,0,3,1,1,0,1
2062,5,23,4,5,4.6,3,6,4.6,23,2,1,2,1,3,1,4,3,4,3,3.2,1.8,3.6,2.0,1,0,0,0,4,3,3,0,2.6,1.2,0.8,0.0,9,11,2,1,0,2,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,0,0,0,0,0,0,0,0,0,0,15,12,6,17,9,9,3,9,6,5,3,6,3,4,2,1
2063,3,9,3,5,4.0,2,4,3.0,12,2,2,1,2,1,0,4,3,5,3,2.0,2.3,2.3,1.0,0,0,0,0,4,2,5,0,1.7,0.7,1.7,0.0,3,3,2,1,0,1,1,1,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,8,6,6,4,3,2,2,3,3,2,2,1,1,0,0,1
2064,2,8,5,6,5.5,4,4,4.0,11,1,1,2,1,3,1,5,3,4,4,3.5,2.0,3.5,2.5,0,0,0,0,5,3,3,0,2.5,1.5,1.5,0.0,5,2,0,1,0,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,5,3,1,6,4,2,1,5,3,2,1,4,3,1,1,1
2065,4,16,5,7,5.8,3,5,4.0,23,0,0,2,2,3,1,4,4,4,4,2.5,3.0,3.5,2.5,1,0,0,0,4,3,4,0,2.2,2.0,1.5,0.0,9,5,2,0,0,2,2,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,2,1,1,0,0,0,0,0,0,0,0,11,12,8,10,7,7,5,9,4,7,3,5,2,4,2,1
2066,3,12,3,5,3.7,4,4,4.0,11,1,0,1,1,2,1,3,2,2,5,2.0,1.7,2.0,2.3,1,0,0,0,3,2,2,0,2.0,0.7,1.0,0.0,4,7,1,0,0,2,1,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,2,0,0,0,0,0,0,0,0,0,0,8,7,4,8,6,4,2,4,2,2,1,1,1,0,0,1
2067,6,20,3,6,4.5,2,5,3.3,27,4,1,1,1,1,1,3,6,5,4,1.7,2.5,2.5,2.2,0,1,0,0,3,6,3,0,1.2,2.3,1.0,0.0,10,8,2,0,0,4,2,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6,4,4,3,4,3,0,0,0,0,0,0,0,0,11,12,8,13,7,7,5,10,5,5,3,5,2,2,1,1
2068,4,22,4,7,5.2,4,7,5.5,21,2,0,1,3,0,2,4,5,5,5,2.2,4.2,2.5,3.8,1,0,0,0,3,4,2,1,1.8,2.8,0.5,0.2,15,4,3,0,1,1,2,0,4,4,4,3,3,3,3,4,4,4,4,3,3,3,3,4,3,3,1,1,1,1,1,1,0,0,0,0,0,0,14,14,7,8,4,5,1,15,10,8,4,4,2,2,0,1
2069,5,17,4,8,5.6,2,5,3.4,28,0,0,1,0,1,1,4,4,3,4,2.8,2.6,2.0,3.0,1,0,0,0,4,4,3,3,2.2,1.6,1.2,0.6,11,5,1,0,1,3,1,0,5,4,4,5,5,4,4,5,5,4,4,5,5,4,4,5,4,4,3,3,3,3,1,1,0,0,0,0,0,0,14,12,10,10,8,7,6,11,8,6,4,5,3,2,1,1
2070,4,13,3,7,5.0,2,5,3.2,20,1,1,0,1,0,1,5,7,4,2,2.8,3.2,2.0,1.2,0,1,0,0,2,7,2,1,0.8,3.2,0.8,0.2,9,2,2,0,1,1,2,0,3,4,3,3,2,3,2,4,3,4,3,3,2,3,2,2,4,2,2,1,2,1,1,0,1,0,1,0,1,0,7,12,7,8,4,7,4,9,4,8,4,6,2,5,2,1
2071,5,20,3,7,4.4,3,6,4.0,22,5,1,2,1,1,0,4,4,3,7,2.8,3.0,2.2,2.8,0,0,0,0,4,4,3,0,2.4,1.2,0.8,0.0,8,7,4,1,0,2,2,1,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,4,3,2,2,1,1,0,0,0,0,0,0,0,0,0,11,13,7,9,5,5,3,8,4,5,3,2,1,1,1,0
2072,3,11,3,5,4.0,3,5,3.7,12,0,0,1,2,1,2,2,3,3,3,1.7,2.3,2.0,2.7,0,0,0,0,1,3,3,1,0.7,1.7,1.3,0.3,8,2,1,0,1,1,1,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,2,1,1,0,1,1,0,0,1,1,0,0,8,4,1,6,3,3,0,8,7,1,0,4,3,1,0,1
2073,4,25,3,6,4.5,3,10,6.2,18,7,3,1,2,1,1,4,6,4,3,2.8,4.0,2.2,2.2,0,0,0,0,4,6,0,0,2.0,2.5,0.0,0.0,14,5,4,2,0,0,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,12,17,6,11,4,8,2,14,8,9,4,6,3,4,1,0
2074,6,31,3,5,4.3,3,8,5.2,26,2,1,1,1,0,2,5,3,3,5,2.8,2.3,1.8,3.0,1,0,0,0,5,3,2,1,2.7,0.8,0.7,0.2,23,4,3,1,1,2,2,1,6,6,6,5,5,5,5,6,6,6,6,5,5,5,5,6,3,3,2,2,1,1,1,1,0,0,0,0,0,0,19,17,8,17,10,9,4,23,11,11,2,13,6,6,1,1
2075,3,12,3,6,4.0,3,6,4.0,12,2,1,2,1,2,1,5,3,4,2,3.3,2.0,3.0,1.7,0,0,0,0,5,2,1,1,2.7,0.7,0.3,0.3,5,6,0,1,1,1,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,0,1,0,1,0,1,1,0,0,0,0,0,0,7,5,2,8,4,4,2,5,3,2,1,2,1,1,1,1
2076,3,12,3,5,4.0,2,6,4.0,12,1,1,2,1,1,1,4,2,4,4,2.7,1.7,2.7,2.3,0,0,0,0,4,1,4,0,2.0,0.7,1.3,0.0,7,2,3,0,0,1,2,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,7,9,6,4,0,2,0,7,4,5,3,2,0,1,0,1
2077,4,21,4,7,5.5,3,7,5.2,22,0,0,1,2,3,1,4,4,6,5,2.5,3.0,4.0,3.2,0,1,1,0,2,4,3,0,0.8,2.8,2.0,0.0,16,5,0,0,0,4,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,4,2,4,2,0,0,0,0,0,0,0,0,13,14,8,16,9,9,4,16,11,9,6,11,7,4,2,1
2078,3,11,4,8,5.3,2,6,3.7,16,1,1,0,1,3,3,5,2,6,3,2.0,1.7,4.3,3.0,0,0,2,0,1,2,6,0,0.3,1.0,4.0,0.0,6,5,0,0,0,3,0,0,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,1,2,1,3,1,2,1,0,0,0,0,0,0,0,0,4,6,1,8,3,4,1,6,3,2,0,3,2,0,0,1
2079,2,8,4,5,4.5,4,4,4.0,9,1,0,1,2,3,1,2,3,3,5,1.5,2.5,3.0,3.0,1,2,0,0,2,3,1,0,1.5,2.5,0.5,0.0,4,3,1,0,0,1,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,4,6,4,4,2,3,2,4,1,2,1,1,0,0,0,1
2080,4,17,4,6,4.5,3,6,4.2,18,2,1,0,1,1,2,3,4,5,3,2.2,2.2,2.8,2.5,0,0,0,0,3,4,5,0,1.5,1.2,1.8,0.0,10,6,1,0,0,3,1,0,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,2,2,0,3,2,1,0,0,0,0,0,0,0,0,0,8,10,3,12,6,6,2,10,5,6,2,6,3,3,1,1
2081,6,27,4,7,5.2,2,6,4.5,31,3,2,0,0,1,1,4,5,5,3,2.7,2.5,3.2,2.5,0,0,0,0,4,5,2,2,2.2,1.8,0.8,0.3,13,12,1,1,1,3,1,1,5,5,4,6,5,5,4,6,5,5,4,6,5,5,4,4,4,2,4,3,3,2,1,1,0,0,1,1,0,0,15,17,7,20,11,13,6,13,7,8,3,8,4,5,2,0
2082,4,18,4,7,5.5,4,5,4.5,22,0,0,2,0,2,3,5,4,4,5,3.5,2.2,2.8,3.5,0,0,0,0,5,3,2,0,2.8,1.2,1.5,0.0,11,6,1,0,0,3,1,0,4,3,3,4,4,3,3,4,4,3,3,4,4,3,3,3,2,1,3,2,1,0,0,0,0,0,0,0,0,0,13,9,5,11,8,4,2,11,8,5,3,5,4,1,1,1
2083,5,17,3,6,4.0,2,5,3.4,20,1,0,1,1,1,1,3,3,4,3,2.0,1.6,2.4,1.8,1,0,0,0,3,1,3,1,1.8,0.8,1.2,0.2,8,7,2,0,1,2,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,3,2,2,1,1,1,1,1,1,1,1,11,10,7,12,8,6,5,8,4,4,2,5,3,2,2,1
2084,4,14,4,7,5.0,2,5,3.5,20,0,0,2,0,1,2,6,6,3,3,3.0,2.8,2.0,2.2,2,0,0,0,6,3,1,1,3.0,1.2,0.2,0.5,11,1,2,0,2,0,2,0,4,3,3,4,4,3,3,4,4,3,3,4,4,3,3,4,3,3,1,1,0,0,2,2,1,1,1,1,0,0,11,9,7,8,5,4,2,11,9,6,5,7,5,3,2,1
2085,2,9,3,5,4.0,3,6,4.5,8,0,0,2,1,2,1,2,3,2,2,2.0,2.0,2.0,1.5,2,1,0,0,2,2,1,0,2.0,1.5,0.5,0.0,5,3,1,0,0,1,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,5,7,4,7,3,5,2,5,2,4,2,4,1,3,1,1
2086,4,25,4,7,5.8,3,10,6.2,23,2,1,2,3,0,4,2,6,5,5,2.0,4.0,3.0,4.5,0,2,0,0,2,6,3,1,0.8,3.8,0.8,0.5,19,4,2,0,2,0,2,0,4,4,4,3,3,3,3,4,4,4,4,3,3,3,3,2,4,2,1,0,1,0,2,1,2,1,1,0,1,0,14,18,9,11,4,8,2,19,11,12,6,7,2,4,0,1
2087,3,13,3,6,4.3,2,6,4.3,13,0,0,2,0,1,2,5,2,2,2,3.3,1.3,1.7,2.0,1,0,0,0,5,2,0,1,3.0,0.7,0.0,0.7,11,1,1,0,2,0,1,0,3,2,2,3,3,2,2,3,3,2,2,3,3,2,2,3,1,1,0,0,0,0,2,2,0,0,0,0,0,0,8,4,1,6,3,1,0,11,6,3,0,5,2,1,0,1
2088,2,10,3,5,4.0,4,6,5.0,8,0,0,1,1,2,2,4,4,3,3,2.5,2.5,2.5,2.5,0,1,0,0,4,1,2,0,2.0,1.0,1.0,0.0,5,3,2,0,0,1,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,6,4,2,7,3,2,0,5,3,0,0,4,2,0,0,1
2089,2,9,4,5,4.5,4,5,4.5,9,1,1,1,2,2,2,2,5,3,4,1.5,3.5,2.5,3.0,0,1,0,0,2,5,0,1,1.0,3.0,0.0,0.5,5,3,1,0,1,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,0,0,0,0,1,1,1,1,0,0,0,0,4,6,3,6,2,3,1,5,3,2,2,3,1,0,0,1
2090,4,15,3,5,4.0,3,5,3.8,16,1,0,1,2,1,1,2,3,5,4,1.2,2.5,2.0,2.5,1,0,0,0,2,3,4,0,1.2,1.5,1.2,0.0,8,5,2,0,0,2,2,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,2,1,1,0,0,0,0,0,0,0,0,9,11,7,9,3,6,2,8,5,6,4,4,1,3,1,1
2091,2,13,5,6,5.5,6,7,6.5,11,0,0,2,2,3,4,4,2,4,5,3.0,2.0,3.5,4.5,0,0,0,0,4,1,4,2,2.0,0.5,2.0,1.0,11,1,1,0,1,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,8,5,3,6,3,1,1,11,6,3,1,5,2,0,0,1
2092,3,11,3,7,5.3,3,5,3.7,16,2,1,2,2,3,0,5,3,6,5,3.3,2.3,4.3,2.3,0,2,0,0,5,3,3,1,1.7,2.3,1.0,0.3,7,2,2,0,1,0,2,0,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,3,1,1,0,1,0,1,0,1,0,1,0,1,0,4,7,2,7,2,3,0,7,2,5,1,5,1,3,0,1
2093,7,25,3,5,4.3,2,5,3.6,30,1,1,1,1,1,1,4,4,4,4,2.0,2.1,2.7,1.9,0,0,0,0,2,3,3,0,1.0,1.4,1.9,0.0,12,12,1,0,0,6,1,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,4,2,6,5,3,2,0,0,0,0,0,0,0,0,17,12,7,19,12,9,5,12,8,4,3,7,3,2,1,1
2094,2,8,3,3,3.0,3,5,4.0,6,3,1,2,1,3,1,2,3,3,2,2.0,2.0,3.0,1.5,0,1,0,0,2,3,0,0,1.0,2.0,0.0,0.0,3,3,2,0,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,5,1,0,0,3,1,1,1,2,0,0,0,1
2095,2,9,3,4,3.5,3,6,4.5,7,1,1,1,1,2,1,4,3,3,1,2.5,2.0,2.5,1.0,1,0,0,0,4,0,2,0,2.5,0.0,1.0,0.0,4,4,0,1,0,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,6,2,6,2,4,1,4,1,3,1,2,0,1,0,1
2096,3,13,3,4,3.3,3,7,4.3,10,1,0,1,1,1,2,3,2,2,4,2.0,1.3,1.3,2.7,1,1,0,0,3,1,0,1,2.0,1.0,0.0,0.3,8,3,2,0,1,0,2,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,1,1,1,1,0,0,0,0,7,8,4,5,1,4,1,8,4,3,1,2,0,1,0,1
2097,6,30,3,6,4.3,4,7,5.0,26,3,1,1,2,1,1,3,3,5,3,2.5,2.3,3.2,2.3,1,0,0,0,3,2,1,1,2.3,1.2,0.5,0.3,19,9,1,1,2,2,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,3,3,2,2,2,2,2,2,1,1,1,1,17,16,8,21,12,9,5,19,10,11,5,12,7,5,3,1
2098,4,22,4,6,5.0,4,7,5.5,20,4,1,2,1,2,2,4,6,5,4,3.0,3.2,4.0,3.0,0,0,0,0,4,6,1,0,2.2,2.0,0.8,0.0,13,8,1,0,0,3,1,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,3,3,2,2,0,0,0,0,0,0,0,0,11,13,6,14,9,7,5,13,6,7,2,6,4,2,1,1
2099,2,10,4,4,4.0,4,6,5.0,8,0,0,2,3,1,2,3,3,2,2,2.5,3.0,1.5,2.0,2,0,1,0,3,1,1,0,2.5,0.5,1.0,0.0,7,3,0,0,0,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,0,0,0,0,0,0,0,0,6,5,2,7,5,2,1,7,4,3,1,4,3,0,0,1
2100,3,13,4,5,4.7,3,7,4.3,14,1,0,3,1,0,0,4,2,3,4,3.7,1.7,2.0,2.7,3,1,0,0,4,2,0,0,3.3,1.3,0.0,0.0,6,4,3,0,0,0,3,0,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,9,8,5,5,2,3,0,6,4,3,2,1,0,1,0,1
2101,3,11,4,6,5.3,3,4,3.7,16,2,1,2,2,0,2,6,5,2,6,3.3,3.7,1.3,4.3,0,0,0,0,6,5,0,1,2.3,2.3,0.0,0.7,10,0,0,1,2,0,0,1,3,3,3,2,2,2,2,3,3,3,3,2,2,2,2,2,2,1,0,0,0,0,2,1,2,1,0,0,0,0,8,6,4,3,2,3,2,10,7,6,4,3,2,3,2,1
2102,2,7,3,4,3.5,3,4,3.5,7,2,1,3,1,0,2,3,2,3,4,3.0,1.5,1.5,3.0,3,0,0,0,3,0,1,0,3.0,0.0,0.5,0.0,4,2,0,1,0,1,0,1,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,2,0,3,2,1,0,4,2,1,0,1,1,0,0,1
2103,4,12,3,6,4.0,2,4,3.0,16,1,0,0,1,1,1,5,3,3,4,2.0,2.0,1.8,2.8,0,0,0,0,5,3,1,0,1.8,1.8,0.5,0.0,7,3,2,0,0,2,2,0,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,3,3,2,2,1,1,0,0,0,0,0,0,0,0,0,6,5,2,6,2,2,0,7,2,2,0,3,0,1,0,1
2104,2,7,3,5,4.0,3,4,3.5,8,0,0,1,2,1,1,2,2,2,4,1.5,2.0,1.5,2.5,0,1,0,1,1,2,2,1,0.5,1.5,1.0,1.0,7,0,0,0,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,0,1,0,2,1,2,1,1,0,1,0,4,6,3,2,0,2,0,7,4,6,3,2,0,2,0,1
2105,2,9,4,5,4.5,4,5,4.5,9,2,1,0,3,2,2,2,4,3,5,1.0,3.5,2.5,3.5,0,1,0,0,2,4,2,0,1.0,2.5,1.0,0.0,6,2,1,0,0,1,1,0,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1,7,1,6,1,5,1,6,0,4,0,4,0,3,0,1
2106,5,21,3,6,4.6,3,6,4.2,23,0,0,1,1,1,1,5,3,4,4,3.0,1.8,2.6,2.0,1,0,0,0,5,2,3,1,2.8,0.8,0.8,0.2,14,4,3,0,1,1,3,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,2,2,0,0,1,1,0,0,1,1,0,0,15,13,8,14,10,8,5,14,9,8,4,10,7,6,4,1
2107,3,10,4,6,5.0,2,5,3.3,15,2,2,2,3,1,1,5,4,3,2,3.7,3.3,2.0,1.3,2,0,0,0,5,2,2,0,3.7,0.7,0.7,0.0,4,2,2,2,0,1,0,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,8,6,4,3,2,2,1,4,3,2,1,1,1,0,0,1
2108,2,9,5,5,5.0,4,5,4.5,10,2,1,2,1,4,1,2,5,5,2,2.0,3.0,4.5,1.5,0,1,0,0,1,5,3,0,0.5,3.0,1.5,0.0,3,5,1,0,0,1,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,4,7,4,7,3,5,3,3,2,2,2,2,1,1,1,1
2109,4,21,5,7,5.8,4,8,5.2,23,0,0,2,2,3,1,4,4,4,6,3.0,2.8,3.8,4.0,2,0,0,0,3,4,3,0,2.5,1.8,1.5,0.0,12,7,2,0,0,2,2,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0,12,14,7,13,6,8,3,12,6,7,3,6,2,3,1,1
2110,2,9,3,4,3.5,4,5,4.5,7,2,0,2,1,2,3,3,2,3,3,2.5,1.5,2.5,3.0,2,1,0,0,3,1,0,0,2.5,1.0,0.0,0.0,5,1,3,0,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,3,1,1,1,5,1,3,1,2,1,1,1,1
2111,3,14,3,5,4.0,3,6,4.7,12,3,1,1,2,1,1,4,3,3,4,2.0,2.3,2.0,2.7,0,0,0,0,3,3,2,0,1.3,1.7,1.0,0.0,10,3,1,0,0,2,1,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,2,2,1,1,0,0,0,0,0,0,0,0,8,7,4,6,4,3,2,10,5,4,2,3,1,1,0,1
2112,3,11,4,5,4.3,3,4,3.7,13,1,1,2,2,2,1,3,4,3,3,2.3,3.0,2.3,2.0,0,1,0,0,2,4,1,1,1.3,2.3,0.3,0.3,6,4,1,0,1,1,1,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,1,1,1,1,1,1,1,1,0,0,0,0,6,9,4,5,1,5,1,6,5,4,3,1,0,1,0,1
2113,3,14,5,7,6.3,2,7,4.7,19,0,0,2,1,2,2,4,4,5,3,3.3,2.7,4.0,2.7,0,0,0,0,4,1,5,1,2.0,0.7,3.3,0.3,11,2,1,0,1,1,1,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,2,1,1,0,1,0,1,0,1,0,1,0,10,8,5,10,7,5,3,11,7,6,3,8,5,4,2,1
2114,4,16,4,5,4.8,2,6,4.0,19,2,1,1,3,1,1,3,5,4,3,1.8,4.0,2.8,2.0,0,0,0,0,2,5,4,0,0.8,2.5,1.5,0.0,9,4,3,0,0,2,2,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,1,2,1,1,0,0,0,0,0,0,0,0,0,8,12,5,8,5,5,3,9,4,6,2,4,2,2,1,1
2115,3,13,3,5,4.0,3,6,4.3,12,0,0,1,0,1,2,4,2,3,3,2.3,1.3,2.0,2.3,1,0,1,0,4,1,2,0,2.3,0.3,1.3,0.0,7,6,0,0,0,3,0,0,3,2,2,3,3,2,2,3,3,2,2,3,3,2,2,3,1,1,3,3,1,1,0,0,0,0,0,0,0,0,8,5,2,10,6,4,2,7,3,3,1,4,1,2,1,1
2116,2,7,3,4,3.5,3,4,3.5,7,3,0,2,2,0,3,2,2,3,4,2.0,2.0,1.5,3.5,0,2,0,0,1,2,1,1,0.5,2.0,0.5,0.5,5,2,0,0,1,1,0,0,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,1,2,1,1,0,1,0,1,1,1,1,0,0,0,0,3,2,1,2,0,1,0,5,3,1,1,0,0,0,0,1
2117,2,9,4,5,4.5,3,6,4.5,9,0,0,2,3,0,1,4,3,4,3,3.0,3.0,2.0,2.0,1,0,0,0,2,2,4,0,1.5,1.0,2.0,0.0,6,1,2,0,0,1,1,0,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,8,5,4,4,3,1,0,6,5,3,2,3,2,1,0,1
2118,5,21,3,7,5.0,2,7,4.2,25,1,0,2,1,1,2,4,3,6,3,2.6,2.2,3.4,2.6,0,0,0,0,2,3,4,1,1.2,1.8,1.8,0.2,15,6,0,0,1,4,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,2,4,2,3,1,1,1,1,1,0,0,0,0,11,10,5,14,5,6,2,15,8,7,4,8,2,3,1,1
2119,5,22,4,6,4.8,3,7,4.4,24,3,2,1,1,2,1,4,6,4,3,3.2,2.6,2.6,2.4,0,0,0,0,4,6,2,0,2.2,2.2,0.4,0.0,11,6,4,1,0,1,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,2,1,0,1,0,0,0,0,0,0,0,0,0,12,13,7,13,6,5,2,11,5,6,3,7,3,2,1,0
2120,2,8,4,5,4.5,4,4,4.0,9,1,1,3,2,2,2,5,2,3,3,4.0,2.0,2.5,2.5,3,0,0,0,5,1,0,0,4.0,0.5,0.0,0.0,4,2,1,1,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,5,3,4,2,3,1,4,3,2,1,2,1,1,0,1
