,#gens,#Terms,min_deg,max_deg,av_deg,min_terms,max_terms,av_terms,deg_sum(F),#pure_var_power,#pure_var_power_lt,min_deg_of_X_1,min_deg_of_X_2,min_deg_of_X_3,min_deg_of_X_4,max_deg_of_X_1,max_deg_of_X_2,max_deg_of_X_3,max_deg_of_X_4,av_deg_of_X_1,av_deg_of_X_2,av_deg_of_X_3,av_deg_of_X_4,min_lt_deg_of_X_1,min_lt_deg_of_X_2,min_lt_deg_of_X_3,min_lt_deg_of_X_4,max_lt_deg_of_X_1,max_lt_deg_of_X_2,max_lt_deg_of_X_3,max_lt_deg_of_X_4,av_lt_deg_of_X_1,av_lt_deg_of_X_2,av_lt_deg_of_X_3,av_lt_deg_of_X_4,cls_1,cls_2,cls_3,cls_4,cls_of_lt_1,cls_of_lt_2,cls_of_lt_3,cls_of_lt_4,generators_with_X1,generators_with_X2,generators_with_X1_X2,generators_with_X3,generators_with_X1_X3,generators_with_X2_X3,generators_with_X1_X2_X3,generators_with_X4,generators_with_X1_X4,generators_with_X2_X4,generators_with_X1_X2_X4,generators_with_X3_X4,generators_with_X1_X3_X4,generators_with_X2_X3_X4,generators_with_X1_X2_X3_X4,lt_with_X1,lt_with_X2,lt_with_X1_X2,lt_with_X3,lt_with_X1_X3,lt_with_X2_X3,lt_with_X1_X2_X3,lt_with_X4,lt_with_X1_X4,lt_with_X2_X4,lt_with_X1_X2_X4,lt_with_X3_X4,lt_with_X1_X3_X4,lt_with_X2_X3_X4,lt_with_X1_X2_X3_X4,terms_with_X1,terms_with_X2,terms_with_X1_X2,terms_with_X3,terms_with_X1_X3,terms_with_X2_X3,terms_with_X1_X2_X3,terms_with_X4,terms_with_X1_X4,terms_with_X2_X4,terms_with_X1_X2_X4,terms_with_X3_X4,terms_with_X1_X3_X4,terms_with_X2_X3_X4,terms_with_X1_X2_X3_X4,0,1,2,3,4,5
5990,2,11,3,6,4.5,4,7,5.5,9,2,2,3,1,2,1,6,3,5,5,4.5,2.0,3.5,3.0,3,0,0,0,6,0,0,0,4.5,0.0,0.0,0.0,5,4,0,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,3,6,4,5,3,5,3,3,1,2,1,2,1,0,0,5,0,0,0
2834,3,18,5,5,5.0,4,8,6.0,15,0,0,2,2,2,3,4,3,4,4,3.0,2.3,3.3,3.3,0,1,0,0,2,3,4,0,1.3,2.0,1.7,0.0,14,3,1,0,0,2,1,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,1,2,1,0,0,0,0,0,0,0,0,10,12,6,10,3,6,1,14,8,8,4,7,2,3,0,1,2,2,10,6,7
9076,3,17,4,6,5.0,4,7,5.7,15,2,1,1,2,1,1,3,5,4,3,2.0,4.0,2.7,2.0,0,0,0,0,3,4,4,0,1.3,2.3,1.3,0.0,10,4,3,0,0,1,2,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,12,13,10,9,6,5,4,10,8,7,6,5,4,2,2,3,1,0,10,0,0
5981,2,10,5,7,6.0,4,6,5.0,12,0,0,1,1,3,4,4,3,6,5,2.5,2.0,4.5,4.5,1,1,0,0,4,3,2,1,2.5,2.0,1.0,0.5,6,3,1,0,1,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,9,5,4,8,7,4,3,6,5,3,2,5,4,3,2,1,0,0,3,2,3
2312,4,15,4,5,4.5,2,5,3.8,18,2,0,2,1,1,2,4,2,4,4,2.8,1.5,2.8,3.2,0,0,1,0,2,2,3,0,1.2,1.2,2.0,0.0,10,5,0,0,0,4,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,4,3,3,2,0,0,0,0,0,0,0,0,8,7,3,9,5,4,2,10,5,4,1,4,2,1,0,0,7,7,31,34,0
3174,4,16,3,7,4.5,3,6,4.0,18,2,1,1,2,1,1,6,4,3,5,2.8,3.0,1.8,3.0,0,1,0,0,6,4,0,0,2.5,2.0,0.0,0.0,8,3,5,0,0,0,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,7,14,7,8,1,7,1,8,2,6,2,5,0,4,0,3,0,0,13,0,24
4159,4,14,4,5,4.5,3,4,3.5,18,0,0,2,2,0,1,4,3,4,3,3.0,2.2,2.0,2.0,2,0,0,0,4,2,2,0,2.8,1.2,0.5,0.0,9,2,3,0,0,1,3,0,4,4,4,3,3,3,3,4,4,4,4,3,3,3,3,4,3,3,1,1,0,0,0,0,0,0,0,0,0,0,9,11,7,6,2,4,1,9,5,7,4,4,1,3,1,2,1,1,3,12,25
9192,4,15,3,7,5.0,2,5,3.8,20,2,1,0,2,1,1,4,4,5,3,2.0,3.0,2.8,2.5,0,0,0,0,4,3,4,0,1.8,1.2,2.0,0.0,10,4,1,0,0,3,1,0,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,2,2,0,3,2,1,0,0,0,0,0,0,0,0,0,9,7,3,8,6,3,2,10,6,5,3,4,3,2,2,1,3,0,17,0,15
7409,3,8,6,7,6.3,2,4,2.7,19,0,0,3,1,2,0,5,3,4,3,3.7,2.3,2.7,2.0,1,0,1,0,5,3,4,0,3.0,1.3,2.0,0.0,4,4,0,0,0,3,0,0,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2,3,3,2,2,0,0,0,0,0,0,0,0,8,4,4,8,8,4,4,4,4,1,1,4,4,1,1,0,4,4,0,1,3
1649,2,8,5,5,5.0,4,4,4.0,10,0,0,2,4,1,1,3,4,4,4,2.5,4.0,2.5,2.5,1,3,0,0,2,4,0,0,1.5,3.5,0.0,0.0,4,2,2,0,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,6,2,3,1,2,0,4,1,3,0,1,0,1,0,2,2,1,0,0,0
7585,2,9,4,4,4.0,4,5,4.5,8,1,0,1,3,2,0,3,3,4,2,2.0,3.0,3.0,1.0,1,0,1,0,3,1,2,0,2.0,0.5,1.5,0.0,3,6,0,0,0,2,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,0,0,0,0,0,0,0,0,3,6,2,8,3,5,2,3,0,2,0,2,0,1,0,0,3,3,1,1,0
7821,3,9,3,5,4.0,3,3,3.0,12,3,2,3,1,1,2,5,2,2,5,3.7,1.3,1.3,3.0,3,0,0,0,5,0,1,0,3.7,0.0,0.3,0.0,4,3,0,2,0,1,0,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,5,3,4,3,3,2,4,1,3,1,1,0,1,0,0,0,1,0,11,8
2462,4,12,4,6,5.0,2,4,3.0,20,0,0,1,1,2,1,3,3,3,4,1.5,2.2,2.5,2.8,0,0,0,0,3,2,3,3,1.0,1.2,1.8,1.0,9,3,0,0,2,2,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,1,3,2,2,1,2,0,2,0,1,0,1,0,6,8,3,7,4,4,2,9,3,7,2,4,1,3,1,0,2,2,13,22,16
871,5,24,4,6,4.6,3,7,4.8,23,4,1,2,1,1,2,4,4,4,5,2.8,2.4,2.6,3.6,0,0,0,0,4,4,3,1,2.2,1.2,1.0,0.2,16,7,1,0,1,3,1,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,2,3,3,2,2,1,1,0,0,0,0,0,0,13,12,6,15,10,6,4,16,7,8,3,8,4,3,1,1,10,0,13,0,0
3709,3,13,3,4,3.7,2,6,4.3,11,2,1,2,0,0,1,3,4,2,2,2.3,2.7,1.3,1.7,0,0,0,0,3,4,0,1,1.7,1.7,0.0,0.3,6,3,4,0,1,0,2,0,3,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,1,0,0,0,0,1,1,0,0,0,0,0,0,9,10,6,5,4,4,3,6,5,3,2,2,2,1,1,2,0,0,2,0,8
6311,4,23,3,6,4.8,4,9,5.8,19,1,0,1,1,1,2,4,5,4,5,2.8,2.8,2.5,3.5,1,1,0,0,4,3,0,0,2.8,2.0,0.0,0.0,15,4,4,0,0,0,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,13,15,8,13,6,7,2,15,7,8,3,9,4,4,1,2,1,2,16,22,14
4008,4,18,4,5,4.2,3,6,4.5,17,1,0,2,0,1,2,3,2,3,5,2.5,1.5,2.2,3.2,2,0,0,0,3,2,1,1,2.5,0.8,0.5,0.5,12,5,1,0,2,1,1,0,4,3,3,4,4,3,3,4,4,3,3,4,4,3,3,4,2,2,2,2,0,0,2,2,1,1,1,1,0,0,11,10,4,9,5,5,1,12,7,6,2,4,2,2,0,1,1,1,9,27,24
1245,4,16,3,6,4.5,3,5,4.0,18,2,0,2,1,1,1,3,2,4,5,2.8,1.5,2.8,2.8,2,0,1,0,3,1,3,0,2.8,0.2,1.5,0.0,10,6,0,0,0,4,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,4,4,1,1,0,0,0,0,0,0,0,0,10,7,4,10,5,4,1,10,6,5,3,4,1,2,0,0,5,5,22,22,0
1088,5,19,3,8,5.4,3,5,3.8,27,1,1,1,1,2,1,7,3,5,7,4.2,2.2,3.4,2.8,1,0,0,0,7,3,3,0,3.2,1.2,1.0,0.0,11,6,1,1,0,3,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,3,3,3,0,0,0,0,0,0,0,0,14,11,8,9,6,4,3,11,7,6,4,3,1,0,0,0,0,4,0,22,14
213,3,18,4,7,5.7,4,8,6.0,17,2,0,2,3,3,1,4,5,6,6,2.7,3.7,4.3,3.0,0,1,1,0,3,3,4,0,1.7,2.0,2.0,0.0,9,9,0,0,0,3,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,2,3,2,0,0,0,0,0,0,0,0,9,12,6,13,6,8,3,9,5,6,4,4,2,2,1,0,14,14,14,11,0
5851,3,10,4,5,4.3,2,4,3.3,13,1,0,2,3,0,1,2,5,3,2,2.0,3.7,1.3,1.7,0,2,0,0,2,4,1,0,1.0,3.0,0.3,0.0,5,2,3,0,0,1,2,0,3,3,3,2,2,2,2,3,3,3,3,2,2,2,2,2,3,2,1,0,1,0,0,0,0,0,0,0,0,0,6,7,4,4,2,2,1,5,3,2,1,2,1,0,0,3,0,0,7,0,9
2051,2,6,3,5,4.0,3,3,3.0,8,2,1,2,1,1,1,5,1,2,3,3.5,1.0,1.5,2.0,2,0,0,0,5,1,0,0,3.5,0.5,0.0,0.0,3,1,1,1,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,2,2,0,0,3,2,1,1,1,1,0,0,0,0,1,0,5,1
5241,2,8,5,5,5.0,3,5,4.0,10,1,1,1,2,2,3,5,4,2,3,3.0,3.0,2.0,3.0,1,0,0,0,5,4,0,0,3.0,2.0,0.0,0.0,5,0,2,1,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,4,2,2,1,5,2,3,1,4,2,2,1,0,0,0,0,1,3
874,7,26,3,7,4.4,2,6,3.7,31,6,3,1,0,1,0,5,5,3,4,2.7,2.3,2.3,2.6,1,0,0,0,5,5,3,0,2.6,1.3,0.6,0.0,13,7,3,3,0,2,2,3,7,5,5,7,7,5,5,6,6,4,4,6,6,4,4,7,3,3,2,2,1,1,0,0,0,0,0,0,0,0,15,13,7,13,6,7,3,13,5,6,3,6,1,3,1,0,0,0,0,0,8
6353,2,6,3,6,4.5,3,3,3.0,9,1,1,1,2,1,2,2,3,3,3,1.5,2.5,2.0,2.5,0,1,0,0,2,3,3,0,1.0,2.0,1.5,0.0,3,2,1,0,0,1,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,4,4,3,4,3,3,3,3,2,1,1,2,1,1,1,1,1,0,1,0,1
1561,3,15,3,5,4.3,5,5,5.0,13,1,0,1,1,2,2,2,4,5,4,1.3,3.0,3.7,2.7,0,0,0,0,1,4,4,0,0.7,1.7,2.0,0.0,11,3,1,0,0,2,1,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,9,9,5,10,6,5,3,11,7,7,4,7,5,4,3,1,3,2,12,1,0
9748,3,11,3,6,4.3,1,7,3.7,13,2,1,0,0,0,0,5,3,4,4,2.3,1.7,2.3,2.3,0,0,0,0,2,3,3,0,1.3,1.3,1.7,0.0,8,2,1,0,0,2,1,0,2,2,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,2,2,1,1,0,0,0,0,0,0,0,0,5,7,3,8,4,6,3,8,3,5,2,6,2,5,2,1,1,0,5,0,10
964,6,26,3,6,4.7,2,6,4.3,28,4,1,1,1,0,2,3,5,3,5,2.3,2.5,2.5,3.3,0,0,0,0,3,5,2,0,1.8,2.3,0.5,0.0,15,7,3,1,0,2,3,1,6,6,6,5,5,5,5,6,6,6,6,5,5,5,5,4,5,3,2,0,2,0,0,0,0,0,0,0,0,0,14,14,7,15,7,8,3,15,7,6,2,8,4,3,1,0,0,7,0,10,0
9294,3,13,3,5,4.3,3,6,4.3,13,1,1,1,2,2,1,3,5,4,2,2.3,3.3,3.3,1.7,0,2,0,0,3,5,1,0,1.0,3.0,0.3,0.0,6,5,2,0,0,1,2,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,8,9,5,9,5,5,2,6,4,3,2,4,2,1,0,2,6,0,7,0,1
8050,4,17,4,7,5.0,2,6,4.2,20,3,2,1,2,1,1,4,4,3,4,2.5,3.0,2.2,2.5,0,0,0,0,4,4,1,1,1.8,2.5,0.5,0.2,10,4,2,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,12,9,6,11,9,6,5,10,6,5,3,7,5,4,3,0,0,0,0,0,15
4321,2,8,5,5,5.0,2,6,4.0,10,2,1,1,2,2,3,3,5,4,5,2.0,3.5,3.0,4.0,0,2,0,0,1,5,1,1,0.5,3.5,0.5,0.5,6,1,1,0,1,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,2,4,3,1,1,6,3,3,2,3,2,1,1,1,0,0,2,0,2
73,6,24,3,5,4.3,3,5,4.0,26,3,1,0,1,1,1,4,3,3,5,2.0,2.5,2.2,3.0,0,0,0,0,4,3,2,2,2.0,1.0,1.0,0.3,14,8,2,0,1,3,2,0,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,5,4,3,4,4,2,2,1,1,0,0,1,1,0,0,11,13,7,18,8,8,4,14,5,6,3,10,3,3,1,2,3,0,7,0,0
9388,3,11,3,5,4.0,3,5,3.7,12,2,1,1,2,1,0,4,3,3,3,2.3,2.7,2.3,1.3,0,0,0,0,4,3,1,0,2.0,1.7,0.3,0.0,3,5,2,1,0,1,1,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,7,6,3,7,4,4,1,3,2,0,0,2,2,0,0,0,0,1,0,2,7
3795,5,19,3,6,3.8,3,5,3.8,19,4,2,0,2,1,1,5,3,4,3,2.0,2.6,2.6,1.6,0,2,0,0,2,3,2,0,0.4,2.6,0.8,0.0,10,7,2,0,0,3,2,0,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,1,5,1,3,1,3,1,0,0,0,0,0,0,0,0,8,10,3,11,4,6,2,10,5,3,1,4,1,1,0,1,4,0,12,0,0
7796,4,17,3,5,4.0,3,6,4.2,16,4,1,2,3,1,0,3,3,3,3,2.2,3.0,2.0,1.5,2,0,0,0,3,2,1,0,2.2,1.2,0.5,0.0,5,7,4,1,0,2,1,1,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,3,3,2,2,2,2,0,0,0,0,0,0,0,0,10,13,7,9,5,7,3,5,3,3,2,2,1,1,0,0,0,0,0,0,9
1213,4,20,4,6,4.8,4,6,5.0,19,1,0,1,2,2,2,3,4,5,4,2.2,3.0,3.2,2.8,0,1,1,0,3,3,2,1,1.5,1.8,1.2,0.2,14,6,0,0,1,3,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,4,3,1,1,1,1,1,1,1,1,10,13,7,13,7,7,4,14,6,8,4,7,3,2,1,0,8,8,34,24,18
5067,3,11,4,6,5.3,3,4,3.7,16,1,1,1,1,3,1,4,6,5,3,2.7,3.0,3.7,2.0,0,0,0,0,2,6,3,1,1.0,2.3,1.7,0.3,5,5,1,0,1,1,1,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,2,2,1,1,1,1,0,0,1,1,0,0,7,7,4,8,6,4,3,5,3,3,2,3,2,1,1,1,3,0,3,0,4
9031,4,15,3,4,3.2,2,5,3.8,13,0,0,2,0,0,2,3,2,1,2,2.2,1.5,0.8,2.0,0,0,0,0,3,2,1,1,1.8,0.8,0.5,0.2,11,3,1,0,1,2,1,0,4,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,2,1,2,1,1,0,1,1,0,0,0,0,0,0,10,7,4,7,3,3,1,11,7,4,2,4,1,1,0,1,1,1,2,4,10
1386,2,6,3,5,4.0,2,4,3.0,8,0,0,1,1,1,1,3,2,2,3,2.0,1.5,1.5,2.0,1,0,1,0,3,1,2,0,2.0,0.5,1.5,0.0,4,2,0,0,0,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,0,0,0,0,0,0,0,0,6,4,4,3,3,1,1,4,4,3,3,1,1,0,0,0,2,2,1,1,0
7436,5,24,3,7,5.0,3,9,4.8,25,2,0,1,2,1,2,5,3,4,5,2.6,2.4,2.8,3.2,1,1,0,0,5,3,2,0,2.2,1.8,1.0,0.0,12,10,2,0,0,3,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,0,0,0,0,0,0,0,0,12,17,9,15,7,10,5,12,5,7,3,5,2,2,1,2,3,3,6,6,13
849,5,28,3,5,4.2,4,7,5.6,21,6,2,2,1,1,2,5,4,4,5,3.0,2.4,2.6,3.2,1,0,0,0,5,2,2,1,2.8,0.4,0.8,0.2,19,6,1,2,1,2,0,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,2,2,1,1,1,1,0,0,0,0,0,0,14,15,6,14,5,9,3,19,7,11,2,8,1,6,0,0,0,3,0,19,0
1416,3,14,3,6,4.3,3,6,4.7,13,4,3,3,2,1,2,4,6,3,4,3.7,3.7,1.7,2.7,0,0,0,0,4,6,0,0,2.3,2.0,0.0,0.0,6,5,1,2,0,0,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,3,6,4,4,2,6,4,2,1,1,1,0,0,0,0,0,0,0,10
7916,3,12,3,5,4.0,4,4,4.0,12,1,1,1,1,1,1,3,3,4,3,2.0,2.0,2.3,1.7,0,0,0,0,3,3,2,1,1.3,1.7,0.7,0.3,7,3,1,1,1,0,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,1,0,1,0,1,0,1,0,1,0,1,0,7,6,2,8,4,3,0,7,3,4,1,5,2,2,0,0,0,1,0,3,5
2314,6,28,4,6,4.8,4,6,4.7,29,2,1,0,2,2,1,5,4,4,3,2.3,3.0,3.0,2.3,0,0,0,0,5,4,2,1,2.0,2.2,0.5,0.2,17,7,3,1,1,2,2,1,4,6,4,6,4,6,4,6,4,6,4,6,4,6,4,4,5,3,2,1,2,1,1,0,1,0,0,0,0,0,14,17,7,16,8,8,4,17,5,10,2,9,2,4,1,0,0,0,0,0,10
9698,5,24,3,5,3.8,3,7,4.8,19,5,1,0,1,3,1,2,3,4,3,1.2,2.0,3.4,2.2,0,0,0,0,2,2,3,1,0.6,1.4,1.6,0.2,16,5,3,0,1,2,2,0,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,2,4,2,3,0,2,0,1,0,1,0,1,0,1,0,8,12,5,15,2,5,0,16,5,8,3,10,1,4,0,2,1,0,19,0,0
7376,4,19,3,5,3.8,3,7,4.8,15,2,0,1,1,1,2,4,3,4,4,2.5,2.2,1.8,2.8,1,0,0,0,4,3,1,0,2.0,1.5,0.2,0.0,11,5,3,0,0,1,3,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,1,1,0,0,0,0,0,0,0,0,0,0,12,8,4,7,6,1,1,11,4,4,0,2,1,0,0,2,3,0,5,16,16
9905,4,18,3,5,4.2,3,6,4.5,17,2,1,2,3,0,1,3,5,2,3,2.5,3.5,1.2,2.0,0,1,0,0,3,5,2,0,1.8,2.0,0.5,0.0,9,3,6,0,0,1,3,0,4,4,4,3,3,3,3,4,4,4,4,3,3,3,3,3,4,3,1,1,1,1,0,0,0,0,0,0,0,0,11,14,8,7,3,5,2,9,5,5,2,4,1,2,0,3,0,0,14,0,25
239,5,26,4,6,5.2,3,7,5.2,26,1,0,2,0,1,1,5,5,4,6,3.2,2.4,2.2,3.8,1,0,0,0,5,3,2,1,2.6,1.2,1.2,0.2,18,7,1,0,1,3,1,0,5,4,4,5,5,4,4,5,5,4,4,5,5,4,4,5,3,3,4,4,2,2,1,1,0,0,1,1,0,0,18,15,8,17,12,11,6,18,11,9,3,10,6,6,2,1,5,2,17,6,35
1073,4,13,3,6,5.0,2,4,3.2,20,1,1,1,2,1,1,3,3,3,4,2.2,2.2,2.0,2.2,1,0,0,0,3,3,2,1,2.0,1.8,1.0,0.2,6,5,1,1,1,2,0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,1,1,1,1,1,1,1,1,10,9,7,8,5,5,3,6,4,5,4,3,1,2,1,0,0,10,0,12,11
7723,3,7,4,5,4.3,1,3,2.3,13,0,0,0,0,1,1,1,2,4,2,0.3,1.3,2.7,1.7,0,0,0,0,1,2,4,1,0.3,1.3,2.0,0.7,5,2,0,0,2,1,0,0,1,2,1,3,1,2,1,3,1,2,1,3,1,2,1,1,2,1,2,0,1,0,2,1,1,1,1,0,0,0,2,4,1,5,1,2,0,5,2,2,1,3,1,0,0,0,1,1,6,1,5
3173,2,7,3,8,5.5,2,5,3.5,11,0,0,2,0,2,1,5,2,6,5,3.5,1.0,4.0,3.0,2,0,0,0,2,0,6,1,2.0,0.0,3.0,0.5,5,2,0,0,1,1,0,0,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,5,3,2,4,2,2,1,5,3,2,1,2,0,1,0,0,1,1,1,4,3
3658,4,20,4,5,4.8,4,7,5.0,19,2,1,1,3,1,2,4,4,4,5,2.5,3.5,2.2,3.2,0,1,0,0,4,4,0,1,2.2,2.2,0.0,0.2,15,1,4,0,1,0,3,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,0,0,0,0,1,1,1,1,0,0,0,0,11,11,8,10,4,3,2,15,7,6,4,9,3,2,1,3,0,0,26,0,43
9011,4,20,3,10,6.0,4,6,5.0,24,2,0,1,1,2,2,7,7,4,4,4.0,3.0,3.0,3.5,0,0,0,0,5,6,3,0,2.0,2.2,1.8,0.0,13,6,1,0,0,3,1,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,3,2,2,1,0,0,0,0,0,0,0,0,14,8,6,13,9,6,5,13,9,5,4,7,5,4,4,1,6,3,22,26,0
523,4,20,4,7,5.2,2,8,5.0,21,2,1,2,3,1,0,4,4,6,5,3.0,3.2,2.5,2.2,1,0,0,0,4,4,3,0,2.8,1.8,0.8,0.0,11,5,3,1,0,1,2,1,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,2,2,1,1,0,0,0,0,0,0,0,0,0,0,13,12,8,10,5,5,2,11,7,5,4,5,3,1,1,0,0,2,0,4,62
9408,3,13,3,4,3.3,3,5,4.3,10,3,1,1,2,0,1,3,3,1,3,2.0,2.7,0.7,2.0,0,0,0,0,3,3,1,0,1.3,1.7,0.3,0.0,8,2,2,1,0,1,1,1,3,3,3,2,2,2,2,3,3,3,3,2,2,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,4,10,2,4,1,3,0,8,2,6,1,2,1,1,0,0,0,0,0,0,11
8824,4,18,3,5,4.0,2,7,4.5,16,0,0,0,1,1,1,3,4,3,3,2.2,2.5,1.8,1.8,0,1,0,0,2,3,2,0,1.2,1.5,1.2,0.0,12,5,1,0,0,3,1,0,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,3,4,3,3,2,3,2,0,0,0,0,0,0,0,0,10,15,7,9,4,8,3,12,6,9,3,4,1,3,0,1,2,1,9,15,4
2207,5,22,3,5,3.8,2,8,4.4,19,3,0,1,1,0,0,4,3,4,3,2.4,2.2,2.2,2.0,1,0,0,0,3,2,2,1,2.2,1.0,0.4,0.2,10,8,4,0,1,1,3,0,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,5,3,3,1,1,0,0,1,1,0,0,0,0,0,0,15,14,10,11,6,7,4,10,8,5,5,3,2,2,2,3,4,0,3,0,0
6483,3,10,3,4,3.7,2,5,3.3,11,2,1,2,1,0,0,2,4,3,3,2.0,2.3,1.3,1.7,0,1,0,0,2,4,0,0,1.3,2.3,0.0,0.0,6,1,3,0,0,0,3,0,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3,4,2,2,0,6,3,3,1,3,1,2,0,2,1,0,2,0,4
8709,6,29,3,6,4.5,3,7,4.8,27,2,1,2,2,1,1,4,4,4,3,2.8,2.7,2.5,2.3,0,0,0,0,4,3,1,1,2.3,1.5,0.5,0.2,17,8,3,1,1,2,2,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,3,3,2,2,1,1,0,1,0,1,0,1,0,18,21,13,19,9,13,6,17,9,12,6,11,4,7,2,0,0,5,0,3,0
7011,2,9,3,6,4.5,3,6,4.5,9,0,0,2,2,2,2,5,2,2,3,3.5,2.0,2.0,2.5,2,0,0,0,5,1,0,1,3.5,0.5,0.0,0.5,5,2,2,0,1,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,5,6,3,5,2,3,1,5,2,2,0,3,1,1,0,1,0,0,1,6,7
3855,5,19,3,6,4.6,3,5,3.8,23,1,1,1,1,1,2,4,3,3,4,2.4,2.6,2.4,2.8,0,0,0,0,4,3,3,1,2.0,1.4,1.0,0.2,12,6,1,0,1,3,1,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,3,2,1,1,1,1,1,1,0,0,0,0,10,13,7,9,5,4,3,12,5,8,3,3,1,0,0,1,2,2,13,10,0
